shop,address,count,shopid,shop+address
スーパーノバ会津インター店,福島県会津若松市町北町上荒久田宮下１４２ スーパーノバ会津インター,4,shop_id=2713,スーパーノバ会津インター店 福島県会津若松市町北町上荒久田宮下１４２ スーパーノバ会津インター
G3POROS原町店,福島県南相馬市原町区北原字本屋敷188 ,4,shop_id=11365,G3POROS原町店 福島県南相馬市原町区北原字本屋敷188 
PALO喜多方店,福島県喜多方市字押切南2丁目42-1 ,2,shop_id=9575,PALO喜多方店 福島県喜多方市字押切南2丁目42-1 
GiGO白河,福島県白河市新高山1-1 メガステージ白河,2,shop_id=7847,GiGO白河 福島県白河市新高山1-1 メガステージ白河
GiGO福島,福島県福島市本内中井6-1 GiGO福島,4,shop_id=3080,GiGO福島 福島県福島市本内中井6-1 GiGO福島
ザ・サードプラネットピボット福島店,福島県福島市栄町１－１ パワーシティピボット,2,shop_id=94,ザ・サードプラネットピボット福島店 福島県福島市栄町１－１ パワーシティピボット
スーパーノバ福島店,福島県福島市黒岩中島７－２ スーパーノバ福島,4,shop_id=88,スーパーノバ福島店 福島県福島市黒岩中島７－２ スーパーノバ福島
ラウンドワンスタジアム福島,福島県福島市太田町14-18 ,4,shop_id=11672,ラウンドワンスタジアム福島 福島県福島市太田町14-18 
GiGO日和田,福島県郡山市日和田町字西中島7-1 ,2,shop_id=3582,GiGO日和田 福島県郡山市日和田町字西中島7-1 
namcoイオンタウン郡山店,福島県郡山市松木町2-88 イオンタウン郡山,8,shop_id=1601,namcoイオンタウン郡山店 福島県郡山市松木町2-88 イオンタウン郡山
タイトFーステーション郡山オリエントパーク,福島県郡山市安積町荒井字大久保35-1 ,2,shop_id=2907,タイトFーステーション郡山オリエントパーク 福島県郡山市安積町荒井字大久保35-1 
タイトーFステーション郡山アティ店,福島県郡山市駅前1-16-7 郡山アティ7F,2,shop_id=9620,タイトーFステーション郡山アティ店 福島県郡山市駅前1-16-7 郡山アティ7F
モーリーファンタジー郡山フェスタ店,福島県郡山市日和田町字小原１ イオン郡山フェスタ１階,2,shop_id=2172,モーリーファンタジー郡山フェスタ店 福島県郡山市日和田町字小原１ イオン郡山フェスタ１階
ラウンドワンスタジアム郡山,福島県郡山市向河原町4-55 ,2,shop_id=11640,ラウンドワンスタジアム郡山 福島県郡山市向河原町4-55 
ソユーエンターテイメントスタジオ須賀川店,福島県須賀川市古河１０５番 イオンタウン須賀川Ｂ棟内,4,shop_id=5601,ソユーエンターテイメントスタジオ須賀川店 福島県須賀川市古河１０５番 イオンタウン須賀川Ｂ棟内
ゲームスペースA-3,福島県西白河郡西郷村豊作西15-16-17 ,2,shop_id=9931,ゲームスペースA-3 福島県西白河郡西郷村豊作西15-16-17 
ゲームメガみらい平店,茨城県つくばみらい市陽光台1-14-1 ゲームメガみらい平店,4,shop_id=2051,ゲームメガみらい平店 茨城県つくばみらい市陽光台1-14-1 ゲームメガみらい平店
アミューズメントジャムジャムつくば店,茨城県つくば市竹園1-9-2 デイズタウンB1F,2,shop_id=3848,アミューズメントジャムジャムつくば店 茨城県つくば市竹園1-9-2 デイズタウンB1F
ゲームメガつくば店,茨城県つくば市小野崎177-2 ,2,shop_id=11602,ゲームメガつくば店 茨城県つくば市小野崎177-2 
アミューズビバ,茨城県ひたちなか市東大島2-11-11勝田ミナミボウル内 ,2,shop_id=11713,アミューズビバ 茨城県ひたちなか市東大島2-11-11勝田ミナミボウル内 
アミューズメントジャムジャムひたちなか本店新館,茨城県ひたちなか市田中後40-11 ,2,shop_id=8119,アミューズメントジャムジャムひたちなか本店新館 茨城県ひたちなか市田中後40-11 
ピンクパンサー下妻,茨城県下妻市小島884-10 ,4,shop_id=11699,ピンクパンサー下妻 茨城県下妻市小島884-10 
モーリーファンタジー下妻店,茨城県下妻市堀籠９７２－１ イオンモール下妻２階,2,shop_id=2229,モーリーファンタジー下妻店 茨城県下妻市堀籠９７２－１ イオンモール下妻２階
FESTA古河,茨城県古河市松並2-18-10 マーケットシティ古河,2,shop_id=751,FESTA古河 茨城県古河市松並2-18-10 マーケットシティ古河
