name,address,loc_id,latitude&longitude
"ハロータイトーイオン七戸十和田駅前","青森県 上北郡七戸町 荒熊内 67-990　イオン七戸SC　イオン七戸十和田駅前店内","z_k61NiJ2mIlZ0KUrSBigA","40.718897 141.155339"
"ショッピングモールリーブ","青森県 上北郡六ヶ所村 大字尾駮 字野附1-68","J-kQ0UT9FszQVitRPioNxg","40.965546 141.363629"
"スイーツ・ハート野辺地","青森県 上北郡野辺地町 二本木 24-1　マックスバリュ野辺地店1F","QVmaLFi5xcy3i00zkiuaQQ","40.866134 141.111859"
"ラウンドワンスタジアム盛岡","岩手県 盛岡市 盛岡駅西通 2-10-35","lhPjYxW30376WQgOUSimRQ","39.700378 141.133194"
"アミューズメントゾーン北上","岩手県 北上市 本通り 2-2-1　さくら野百貨店北上店4F","-FabGdDnZd7_udefynEPjg","39.288443 141.115825"
"タイトーステーション盛岡マッハランド","岩手県 盛岡市 上堂 1-2-38","lK-ckkYYe3p0BG0rjoWIKw","39.723165 141.126452"
"ゲームランド盛岡","岩手県 盛岡市 前潟 4-7-1　イオンモール盛岡2F","-gFKvqzXYQxNGxrLiWqFgQ","39.711606 141.099932"
"モーリーファンタジーイオン盛岡南","岩手県 盛岡市 本宮 7-1-1　イオンモール盛岡南　イオン盛岡南店3F","keYiMZmvMVkkgXcnR3Czxg","39.683561 141.12868"
"モーリーファンタジーサンサ盛岡南","岩手県 盛岡市 津志田西 2-17-50　盛岡南SCサンサ内","nd41ebUMAzpaOfYNh1vfVA","39.661971 141.148142"
"チャットタウン北上","岩手県 北上市 北鬼柳 19-71　江釣子SCパル2F","DEGec8EGqQgPFch02GAusg","39.293188 141.093097"
"モーリーファンタジースーパーセンター一関","岩手県 一関市 狐禅寺 字石ノ瀬11-1　イオンスーパーセンター一関店1F","-Iz0AryYjPkYaKY6ZDm_hw","38.939652 141.153482"
"ソユーゲームフィールド釜石","岩手県 釜石市 港町 2-51-41　イオンタウン釜石3F","-5JbKSsfwK-jpbgonWFYOw","39.271199 141.881805"
"ニコアプレイランド","岩手県 二戸市 米沢 字荒谷25　二戸SCニコア内","fYYKP-_trl-Egzmcr_4SOg","40.283166 141.294262"
"モーリーファンタジー盛岡","岩手県 盛岡市 前潟 4-7-1　イオンモール盛岡　イオン盛岡店2F","8xGeetwBhdUCN6oLGd3-KA","39.711595 141.099954"
"ゲームシアターサンシャイン","岩手県 盛岡市 大通 2-7-21　ソレントビル1・2F","gcMGf2nzDfuCGlrf-VVH0g","39.703192 141.145434"
"タイトーFステーション盛岡南","岩手県 盛岡市 津志田町 2-1-77","qJChK7LLBnEYwhJNoOKizg","39.666612 141.157142"
