GiGO我孫子,千葉県我孫子市柴崎字天王谷47−1
GiGO旭,千葉県旭市二字野場3150−1
GiGOイオンスタイル新浦安,千葉県浦安市入船1−4−1イオンスタイル新浦安4F
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
千葉レジャーランド成東店,千葉県山武市姫島111-1
千葉レジャーランド野田店,千葉県野田市吉春776-1
ウェアハウス南流山店,千葉県流山市南流山4−16−6
チャリオット五井店,千葉県市原市五井中央西2−1−2
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
プラサカプコン成田店,千葉県成田市ウイング土屋24イオン成田SC2F
namco松戸店,千葉県松戸市松戸1230−1ピアザ松戸1F
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088
アドアーズ千葉,千葉県千葉市中央区富士見2−4−15第一東和ビル
アミュージアム茂原店,千葉県茂原市高師1619−1
GiGO幕張,千葉県千葉市美浜区ひび野1−8メッセ・アミューズ・モール1F
イスカンダル木更津店,千葉県木更津市潮見4−1−2
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛A2棟4
GiGO八柱,千葉県松戸市日暮1−1−1八柱駅第2ビル2F
本八幡ゲームUNO,千葉県市川市八幡2丁目16ー6八幡ハタビルB1F
プラサカプコン富津店,千葉県富津市青木1-5-1イオンモール富津内ゲームコーナー
柏ガリバー,千葉県柏市柏1−1−11ファミリかしわ地下
シルクハット津田沼,千葉県習志野市津田沼1−2−1十三ビル地下1階
GiGOフェスティバルウォーク蘇我,千葉県千葉市中央区川崎町51−1ハーバーシティ蘇我FW 1F
ラッキー佐倉店,千葉県佐倉市井野1475
フリスポ佐原,千葉県香取市佐原イ−4200
パラボランド東金店,千葉県東金市東岩崎8-10サンピア3F
namco流山おおたかの森S・C店,千葉県流山市おおたかの森南1−5−1おおたかの森S・C3F
タイトーFステーション柏中央,千葉県柏市十余二249−5
タイトーステーション 船橋店,千葉県船橋市本町1−6−1
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
GiGO稲毛オーツーパーク,千葉県千葉市稲毛区園生町380−1
ラウンドワン市原店,千葉県市原市八幡北町3−5−1
ラウンドワン習志野店,千葉県習志野市芝園1−4−5
ラウンドワン市川鬼高店,千葉県市川市鬼高4−1−3
ソユーゲームフィールド幕張店,千葉県千葉市花見川区幕張町4−417−25 IY幕張店2F
GameField千城台店,千葉県千葉市若葉区千城台北3丁目21−1イコアス千城台3F
ソユーゲームフィールド木更津店,千葉県木更津市築地1−4イオンモール木更津2F
GiGOイオンモール銚子,千葉県銚子市三崎町2−2660−1イオンモール銚子2F
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
タイトーFステーション市川妙典店,千葉県市川市妙典4-1-1 イオン市川妙典店2番街2F
