【2023年6月28日(水) 14:00更新】,adress
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
ラウンドワン札幌北２１条店,北海道札幌市東区北２１条東１－１－２１
ラウンドワン東大阪店,大阪府東大阪市若江南町１－２－１２
ラウンドワン東淀川店,大阪府大阪市東淀川区菅原７－１４－２８
ラウンドワン松山店,愛媛県松山市東長戸１－３－１０
ラウンドワン板橋店,東京都板橋区相生町１６
ラウンドワン枚方店,大阪府枚方市高野道１－２０－２０
ラウンドワン梅田店,大阪府大阪市北区小松原町４－１６
ラウンドワン横浜綱島店,神奈川県横浜市港北区樽町2-6-40
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２－８－１６
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平３－１－１
ラウンドワン池袋店,東京都豊島区東池袋１－１４－１
ラウンドワン沖縄・南風原店,沖縄県島尻郡南風原町兼城下茂原５５２
ラウンドワン沖縄・宜野湾店,沖縄県宜野湾市真志喜３－２８－８
ラウンドワン津・高茶屋店,三重県津市高茶屋小森町丸太２７７－８
ラウンドワン浜大津アーカス店,滋賀県大津市浜町２－１浜大津アーカス４Ｆ
ラウンドワン浜松店,静岡県浜松市東区天王町諏訪１９８１－１７
ラウンドワン熊本店,熊本県熊本市西区春日７－２５－１５
ラウンドワン町田店,東京都町田市森野１－１３－１４
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２－１０－３５
ラウンドワン福山店,広島県福山市明神町１－９－２８
ラウンドワン福岡天神店,福岡県福岡市中央区天神２－６－１２
ラウンドワン福島店,福島県福島市太田町１４－１８
ラウンドワン秋田店,秋田県秋田市卸町１－１－２
ラウンドワン習志野店,千葉県習志野市芝園１－４－５
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１
ラウンドワン豊中店,大阪府豊中市名神口１－１－１
ラウンドワン豊橋店,愛知県豊橋市大岩町岩田２７－２
ラウンドワン郡山店,福島県郡山市向河原町４－５５
ラウンドワン金沢店,石川県金沢市横川６－１２０－１
ラウンドワン長野店,長野県長野市東和田８２７－６
ラウンドワン青森店,青森県青森市浜田３－１－１
ラウンドワン静岡・駿河店,静岡県静岡市駿河区手越７５
ラウンドワン高松店,香川県高松市松島町２－７－４３
ラウンドワン高槻店,大阪府高槻市辻子３－６－４
ラウンドワン高津店,神奈川県川崎市高津区二子４－８－１
ラウンドワン高知店,高知県高知市南宝永町４－１２
ラウンドワン鳴海店,愛知県名古屋市緑区鳴海町杜若２８
ラウンドワン鹿児島宇宿店,鹿児島県鹿児島市宇宿２－２－２
ラウンドワンＪＲ尼崎駅前店,兵庫県尼崎市潮江１－４－５いきいき館４階
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
ラッキー佐倉店,千葉県佐倉市井野1475
上越レジャーランボウル,新潟県上越市下門前薬島827-2
千葉レジャーランド成東店,千葉県山武市姫島111-1
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
千葉レジャーランド野田店,千葉県野田市吉春776-1
半田メトロポリス,愛知県半田市旭町３−１１−１
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22
名古屋レジャーランド大高店,愛知県名古屋市緑区忠治山201番地　グランドボウルB2F
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
大垣メトロポリス,岐阜県大垣市三塚町西沼５３−１
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
小田原メトロポリス,神奈川県小田原市前川字相坪219-4
岐阜レジャーランド穂積店,岐阜県瑞穂市稲里630番地
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返２−２
新宿スポーツランド本館,東京都新宿区新宿3-22-12 サンパーク本館1F
最後の５ドル,福岡県糟屋郡粕屋町大字仲原2706仲原ファミリープラザ2F
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
東京レジャーランド吉祥寺店,東京都武蔵野市吉祥寺本町1-3-7　YSビル地下１階〜4階
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
楽市楽座210久留米店,福岡県久留米市東合川2-2-1 2階
楽市楽座イオンモール宮崎店,宮崎県宮崎市新別府町江口８６２−１イオンモール宮崎店２Ｆ
楽市楽座福重店,福岡県福岡市西区石丸４−２６３−１
楽市楽座行橋店,福岡県行橋市西泉６−１−１
楽市街道 名古屋店,愛知県北名古屋市中之郷神明４５−１
滋賀レジャーランド大津店,滋賀県大津市におの浜３−１−４３　イオンスクエアアヤハプラザ内
神奈川レジャーランド厚木店,神奈川県厚木市戸室5-31-1　アツギトレリス2F
福井レジャーランド板垣店,福井県福井市下馬３−１０1
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
群馬レジャーランド渋川店,群馬県渋川市八木原1364
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1　ピット100　3階
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル2階
豊川メトロポリス,愛知県豊川市下長山町上アライ１４−１
遊スペース アローズ,兵庫県神戸市西区丸塚２丁目９−１８
遊スペース マジカル,兵庫県神戸市中央区琴ノ緒町５−２−３
遊スペース　スプラ,兵庫県加古川市尾上町安田３５１−１
遊道楽嘉瀬店,佐賀県佐賀市嘉瀬町中原２４８８−１
遊道楽新合川店,福岡県久留米市新合川1丁目6-7-2F
関大前フタバボウル,大阪府吹田市千里山東１−７−１８
Ａ．Ｃ．グランド,岐阜県岐阜市茜部大川1-77
ＡＤＸマミー出川店,愛知県春日井市不二ヶ丘１丁目５番地
ＡＤＸマミー岡崎店,愛知県岡崎市井田新町６−１
ＡＭジャムジャムつくば店,茨城県つくば市竹園1-9-2デイズタウンつくばB1F
ＡＭスクエアＡＬＧＯ,兵庫県神戸市中央区下山手通1-1-8
ＡｍｕｓｅｍｅｎｔｃｉｔｙＧ−ＳＴＡ,鹿児島県薩摩川内市向田本町４９番
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
ＢＩＮＧＯ一関,岩手県一関市山目字中野９２−１
ＣＬＵＢ　ＥＸＡ,東京都立川市羽衣町2-7-3　小川ビル1F
ＦＡＳボウリングセンター,佐賀県唐津市栄町２５８１−１ＦＡＳボウリングセンター
Ｇ−ＳＴＡＧＥ七隈店,福岡県福岡市城南区七隈８−４−８
Ｇ−ＳＴＡＧＥ小倉,福岡県北九州市小倉北区浅野2-14-5あるあるCITY2階
Ｇ−ＳＴＡＧＥ飯塚店,福岡県飯塚市枝国６８０−２
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ
ＧｉＧＯあべのアポロ３階,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル3F
ＧｉＧＯつかしん,兵庫県尼崎市塚口本町4-8-1 つかしん内
ＧｉＧＯアドバンスモール松阪,三重県松阪市田村町235-1
ＧｉＧＯイオンタウン刈谷,愛知県刈谷市東境町京和１
ＧｉＧＯイオンタウン金沢示野,石川県金沢市戸板西2-1
ＧｉＧＯイオンモール与野,埼玉県さいたま市中央区本町西5-2-9 イオン与野ショッピングセンター3F
ＧｉＧＯエイスクエア草津,滋賀県草津市西渋川1-23-23 ​A/SQUARE ​SARA南館2F
ＧｉＧＯサンスパおおむら,長崎県大村市森園町663-3
ＧｉＧＯサントムーン柿田川,静岡県駿東郡清水町玉川61-2 サントムーン柿田川2F
ＧｉＧＯスエヒロボウル徳島,徳島県徳島市南末広町4-95-2　スエヒロボウル1F
ＧｉＧＯスマーク伊勢崎,群馬県伊勢崎市西小保方町368 スマーク伊勢崎3F 302区画
ＧｉＧＯセンター南,神奈川県横浜市都筑区茅ケ崎中央3-25
ＧｉＧＯフェスティバルウォーク蘇我,千葉県千葉市中央区川崎町51-1 ハーバーシティ蘇我 フェスティバルウォーク アミューズメント棟1F
ＧｉＧＯフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1
ＧｉＧＯマーケットスクエアささしま,愛知県名古屋市中村区平池町4丁目60番地14号
ＧｉＧＯマーゴ関,岐阜県関市倉知516
ＧｉＧＯ中筋,広島県広島市安佐南区中筋4-11-7 フタバ図書MEGA内2F ﾚﾝﾀﾙｺｰﾅｰ奥
ＧｉＧＯ中間,福岡県中間市上蓮花寺3-1-1
ＧｉＧＯ久居,三重県津市久居明神町字風早2534-1
ＧｉＧＯ今福,大阪府大阪市城東区今福東1-9-34
ＧｉＧＯ仙台,宮城県仙台市青葉区中央2-5-5三経60ビル
ＧｉＧＯ伊勢,三重県伊勢市中須町666
ＧｉＧＯ倉敷,岡山県倉敷市西中新田535-2
ＧｉＧＯ入間,埼玉県入間市東藤沢 2-18
ＧｉＧＯ八戸,青森県八戸市城下4-25-14
ＧｉＧＯ八柱,千葉県松戸市日暮1-1-1 八柱駅第2ビル2F
ＧｉＧＯ別府,大分県別府市餅ヶ浜町161-2
ＧｉＧＯ勿来,福島県いわき市勿来町四沢字鍵田13
ＧｉＧＯ北山形,山形県山形市北町1-3-20
ＧｉＧＯ北谷,沖縄県中頭郡北谷町字美浜9-8
ＧｉＧＯ千葉,千葉県千葉市中央区富士見 2-4-1
ＧｉＧＯ南越谷ラクーン,埼玉県越谷市南越谷1-15-1 ラクーン南越谷2F
ＧｉＧＯ名取,宮城県名取市飯野坂字土城堀57-1
ＧｉＧＯ名張,三重県名張市希央台3番町15
ＧｉＧＯ和泉,大阪府和泉市肥子町2-4-41
ＧｉＧＯ大森,東京都大田区山王2-1-5 大森駅ララビル2Ｆ
ＧｉＧＯ大阪第４ビル,大阪府大阪市北区梅田1-11-4 駅前第4ビルB1F
ＧｉＧＯ姫路駅前,兵庫県姫路市駅前町254 姫路OSビルB1F
ＧｉＧＯ宇都宮,栃木県宇都宮市東宿郷5-1-7
ＧｉＧＯ安城,愛知県安城市百石町2-35-13
ＧｉＧＯ小名浜,福島県いわき市小名浜林城字塚前18-1
ＧｉＧＯ小山,栃木県小山市東城南1-1-18
ＧｉＧＯ尾西,愛知県一宮市篭屋3-9-7 アソビックスびさい1F
ＧｉＧＯ尾道,広島県尾道市新浜1-2-13
ＧｉＧＯ岡山藤崎,岡山県岡山市中区藤崎599-12
ＧｉＧＯ岡崎,愛知県岡崎市上地3-50-4
ＧｉＧＯ岡谷,長野県岡谷市塚間町2-1-21
ＧｉＧＯ川口,埼玉県川口市東領家 2-2-10
ＧｉＧＯ布施,大阪府東大阪市長堂1-1-1 ロンモール布施内
ＧｉＧＯ幕張,千葉県千葉市美浜区ひび野1-8 メッセ･アミューズ･モール1F
ＧｉＧＯ広,広島県呉市広中町1-9 2階
ＧｉＧＯ府中,東京都府中市西原町1-6-2 フレスポ府中2F
ＧｉＧＯ延岡,宮崎県延岡市平原町5-1492-8
ＧｉＧＯ弘前,青森県弘前市末広1-3-3
ＧｉＧＯ所沢,埼玉県所沢市日吉町 8-1
ＧｉＧＯ掛川,静岡県掛川市細田248
ＧｉＧＯ新三国アルゴ７,大阪府豊中市神州町1-15
ＧｉＧＯ新宿西口,東京都新宿区西新宿1-12-5
ＧｉＧＯ新杉田,神奈川県横浜市磯子区杉田1-1-1 らびすた新杉田2F
ＧｉＧＯ日光,栃木県日光市芹沼1448-1
ＧｉＧＯ日和田,福島県郡山市日和田町字西中島7-1
ＧｉＧＯ日立,茨城県日立市田尻町3-26-1
ＧｉＧＯ旭,千葉県旭市二3150-1
ＧｉＧＯ明石,兵庫県明石市魚住町清水2464-1 ドライブインながさわ
ＧｉＧＯ春日井,愛知県春日井市岩野町4180
ＧｉＧＯ本厚木,神奈川県厚木市中町4-15-9
ＧｉＧＯ東梅田,大阪府大阪市北区堂山町9-28　スプラウトビル1Ｆ
ＧｉＧＯ松山,愛媛県松山市枝松5-7-32
ＧｉＧＯ松本,長野県松本市渚1-7-1 なぎさライフサイト内
ＧｉＧＯ松江,島根県松江市嫁島町12-15
ＧｉＧＯ枚方,大阪府枚方市須山町83-1 サンシャインプラザ枚方内
ＧｉＧＯ柏,千葉県柏市柏 1-1-11 丸井デパート内B1F
ＧｉＧＯ桑名,三重県桑名市大仲新田宮前158
ＧｉＧＯ武生,福井県越前市新町3-13-4
ＧｉＧＯ武雄,佐賀県武雄市武雄町大字富岡12517-1
ＧｉＧＯ水戸,茨城県水戸市宮町1-7-44 コムボックス310
ＧｉＧＯ水戸南,茨城県水戸市千波町2017-1　1F
ＧｉＧＯ池上,東京都大田区池上6-2-3 松山ビル2Ｆ
ＧｉＧＯ海田,広島県安芸郡海田町南大正町3-35
ＧｉＧＯ海老名,神奈川県海老名市中央1-4-31 海老名プラザビル1F
ＧｉＧＯ渋谷宮益坂,東京都渋谷区渋谷1-14-14 EST 1F
ＧｉＧＯ生桑,三重県四日市市生桑町字川原崎299-1
ＧｉＧＯ甲西,滋賀県湖南市夏見二ツ橋356-1
ＧｉＧＯ町田,東京都町田市原町田6-13-17　アーバンミサワビルB1F
ＧｉＧＯ相模大野,神奈川県相模原市南区相模大野3-13-2　東和ビル2F
ＧｉＧＯ石岡,茨城県石岡市東大橋中峯1976-1
ＧｉＧＯ神楽坂,東京都新宿区神楽坂2-11 第2カグラヒルズ1F
ＧｉＧＯ福井,福井県福井市丸山1-410
ＧｉＧＯ福山,広島県福山市瀬戸町大字山北300
ＧｉＧＯ福岡天神,福岡県福岡市中央区天神2-7-6 DADAビル1～3F
ＧｉＧＯ福島,福島県福島市本内字中井1-2
ＧｉＧＯ福生,東京都福生市大字福生1076-1
ＧｉＧＯ秋田,秋田県秋田市茨島1-1-16
ＧｉＧＯ秋葉原１号館,東京都千代田区外神田 1-10-9
ＧｉＧＯ秋葉原３号館１,東京都千代田区外神田1-11-11 外神田１丁目ビルディング
ＧｉＧＯ稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
ＧｉＧＯ立川,東京都立川市柴崎町3-2-1 サザンビル1F
ＧｉＧＯ竹の塚,東京都足立区竹の塚6丁目8番6号　ピーくんPlaza-B
ＧｉＧＯ籠原,埼玉県熊谷市美土里町 1-169
ＧｉＧＯ米沢,山形県米沢市大字花沢字タナコ原177
ＧｉＧＯ綱島,神奈川県横浜市港北区綱島西2-6-29 城田ビル3F
ＧｉＧＯ自由が丘,東京都目黒区自由ヶ丘2-10-9
ＧｉＧＯ船堀,東京都江戸川区船堀1-6-11
ＧｉＧＯ花園,埼玉県深谷市荒川359
ＧｉＧＯ袋井,静岡県袋井市川井1142-1
ＧｉＧＯ西葛西,東京都江戸川区西葛西5-1-14 第一保志ビル
ＧｉＧＯ西那須野,栃木県那須塩原市南郷屋2-106-27
ＧｉＧＯ諫早,長崎県諫早市小川町90-1
ＧｉＧＯ豊橋飯村,愛知県豊橋市飯村町字西山25-121
ＧｉＧＯ豊田,愛知県豊田市深田町1-65-1
ＧｉＧＯ豊科,長野県安曇野市豊科南穂高1115
ＧｉＧＯ赤羽,東京都北区赤羽1-7-9 赤羽第一葉山ビルB1
ＧｉＧＯ赤羽駅前,東京都北区赤羽1-2-4
ＧｉＧＯ金山,愛知県名古屋市熱田区金山1-19-2
ＧｉＧＯ難波アビオン,大阪府大阪市浪速区難波中2-3-15 MMOビル1F･2F
ＧｉＧＯ霞ヶ浦,茨城県稲敷市西代1473-1
ＧｉＧＯ静岡,静岡県静岡市葵区七間町4
ＧｉＧＯ館林,群馬県館林市小桑原町949-1
ＧｉＧＯ高城,大分県大分市牧1-161-8
ＧｉＧＯ高山,岐阜県高山市上岡本町7-7
ＧｉＧＯ高松,香川県高松市勅使町535
ＧｉＧＯ高田馬場,東京都新宿区高田馬場4-7-5
ＧｉＧＯ鳥取,鳥取県鳥取市安長416
ＧｉＧＯ龍ケ崎,茨城県龍ケ崎市藤ケ丘4-2-8
Ｈｅｙ,東京都千代田区外神田１−１０−５広瀬本社ビル2F
ＪＯＹＬＡＮＤ敦賀店,福井県敦賀市木崎４０号土三田１２番
Ｌａ・Ｆｉｅｓｔａ,愛知県豊橋市広小路１−６−２フェイス豊橋ビルＢ１
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内
ＳＯＹＵＧａｍｅＦｉｅｌｄ大館店,秋田県大館市御成町3丁目7番58号 いとく大館ショッピングセンター3F
ｎａｍｃｏイオンタウン郡山店,福島県郡山市松木町２−８８イオンタウン郡山内
ｎａｍｃｏイオンモール広島府中,広島県安芸郡府中町大須2-1-1イオンモール広島府中3階
ｎａｍｃｏイオンモールＫＹＯＴＯ店,京都府京都市南区西九条鳥居口町1ｲｵﾝﾓｰﾙKYOTO 14060
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０
ｎａｍｃｏモラージュ佐賀店,佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館１Ｆ
ｎａｍｃｏワンダーシティ南熊本店,熊本県熊本市中央区九品寺６−９−１
ｎａｍｃｏ中野店,東京都中野区中野５−５２−１５中野ブロードウェイ別館
ｎａｍｃｏ博多バスターミナル店,福岡県福岡市博多区博多駅中央街２−１博多バスターミナル７階
ｎａｍｃｏ大阪日本橋店,大阪府大阪市浪速区難波中2-1-17コスモビル1〜3階
ｎａｍｃｏ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
ｎａｍｃｏ巣鴨店,東京都豊島区巣鴨１−１５−１宮田ビルB2F
ｎａｍｃｏ新潟店,新潟県新潟市中央区南笹口１−１−１　ひもろぎビル２Ｆ
ｎａｍｃｏ札幌エスタ店,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ
ｎａｍｃｏ梅田店,大阪府大阪市北区小松原町３−３　ＯＳビル２Ｆ
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座2-97CARPA1階
ｎａｍｃｏ王子サンスクエア店,東京都北区王子１−４−１サンスクエア２階
ｎａｍｃｏ豊岡店,兵庫県豊岡市中陰町字大工６１７　３階
