
ACT草津ACTION,滋賀県草津市野路町1161-1
ソユーゲームフィールド青森店,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ
ソユーファミリーゲームフィールド防府店,山口県防府市鐘紡町７−１イオンタウン防府1F
ソユーフォレストハンター松前店,愛媛県伊予郡松前町筒井８５０ＡＭ棟１階
ソユープレイランドソピア八王子店,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
ソユープレイランドソピア南大沢店,東京都八王子市南大沢2-28-1イトーヨーカドー南大沢店3F
ソユープレイランドソピア安城店,愛知県安城市住吉町3-1-8イトーヨーカドー安城店2F
ソユープレイランドソピア幕張店,千葉県千葉市花見川区幕張町4-417-25イトーヨーカドー幕張店2F
ソユー竜宮タウン静岡店,静岡県静岡市駿河区石田1-5-1アピタ静岡ＳＣ2Ｆ
タイト—Ｆステーション高崎オ—パ店,群馬県高崎市八島町４６−１　高崎オ—パ７階
タイトーFステーションりんくうシークル店,大阪府泉佐野市りんくう往来南３
タイトーFステーションヨドバシ博多店,福岡県福岡市博多区博多駅中央街6-12ヨドバシカメラ4Ｆ
タイトーFステーション今治,愛媛県今治市東村１−１４−２今治ワールドプラザ内
タイトーFステーション向ヶ丘遊園店,神奈川県川崎市多摩区登戸2718-1
タイトーFステーション柏中央,千葉県柏市十余二２４９−５
タイトーキッズランドＧＡＺＡ,愛知県豊田市喜多町１−１４０ＧＡＺＡ３階
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１
タイトーステーション 大阪日本橋店,大阪府大阪市浪速区日本橋４−９−１４
タイトーステーション 大須店,愛知県名古屋市中区大須３−２０−７
タイトーステーション 小田原店,神奈川県小田原市栄町１−３−１２
タイトーステーション 広島紙屋町店,広島県広島市中区紙屋町２−２−２１
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
タイトーステーション 横浜西口五番街店,神奈川県横浜市西区南幸１−１２ー９
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル
タイトーステーション 渋谷店,東京都渋谷区渋谷１−２４−１２渋谷東映プラザ
タイトーステーション 町田店,東京都町田市原町田６−２１−２３　松山ビル１階
タイトーステーション 福岡天神店,福岡県福岡市中央区天神２−６−３５サザンクロスビル
タイトーステーション 秋葉原店,東京都千代田区外神田４−２−２貴三ビル
タイトーステーション 船橋店,千葉県船橋市本町１−６−１
タイトーステーション 錦糸町楽天地店,東京都墨田区江東橋４−２７−１４楽天地ビルＢ１Ｆ
タイトーステーション 難波店,大阪府大阪市中央区難波千日前１５−１２
タイトーステーションフェドラ大須店,愛知県名古屋市中区大須３−３０−３１
タイトーステーション国分寺店,東京都国分寺市本町３−５−１１
タイトーステーション新浜松ザザシティ店,静岡県浜松市中区鍛冶町１５サザンシティ西館２Ｆ
タイトーステーション海老名ビナウォーク店,神奈川県海老名市中央１−１８−１　ビナウォーク６番館２Ｆ
タイトーステーション溝の口,神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階
タイトーステーション立川北口店,東京都立川市曙町２−４−５クリサス立川２・３Ｆ
タイトー新宿南口ゲームワールド店,東京都新宿区新宿３−３５−８
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ
タイトーＦステーションVAL小山,栃木県小山市城山町３丁目３番地２２号小山駅ビル３Ｆ
タイトーＦステーションアル・プラザ鯖江店,福井県鯖江市下河端町１６−１６−１アルプラザ鯖江アミューズ棟内
タイトーＦステーションイオン富士宮店,静岡県富士宮市浅間町１−８
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
タイトーＦステーションクレアモール川越店,埼玉県川越市新富町２−１−１３
タイトーＦステーションセントポルタ大分店,大分県大分市中央町２−１−１
タイトーＦステーションダイエー大宮店,埼玉県さいたま市大宮区桜木町２丁目３番地
タイトーＦステーションニシムタ出水店,鹿児島県出水市六月田町３４７番地
タイトーＦステーション三宮 西館店,兵庫県神戸市中央区三宮町２丁目１１−１センタープラザ西館
タイトーＦステーション上越店,新潟県上越市富岡3524 J-MAXシアター内1F
タイトーＦステーション南大沢店,東京都八王子市南大沢２−３ｆａｂ南大沢２Ｆ
タイトーＦステーション吉祥寺ＪＯＹ店,東京都武蔵野市吉祥寺本町１丁目８‐２３　河田ビル
タイトーＦステーション姫路,兵庫県姫路市駅前町２６９・２７０番地
タイトーＦステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
タイトーＦステーション新松戸店,千葉県松戸市新松戸３−２−２イオンフードスタイル新松戸店４階
タイトーＦステーション静岡,静岡県静岡市葵区呉服町２−５−４　ふしみや第２ビル
チャリオット五井店,千葉県市原市五井中央西２−１−２
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
トップラン,兵庫県神戸市西区岩岡町古郷1474-1
トヤマレジャーランド呉羽店,富山県富山市高木字貝塚2054
トライセン中津店,大分県中津市下池永６７−３
トライセン萩原,大分県大分市萩原４−２２７−７
トレジャーサバイバル,山形県山形市北町２−２−４５
ドットコム葛西,東京都江戸川区中葛西３−３５−５
ドラマ八王子高倉店,東京都八王子市高倉町55-4
ドラマ港北インター店,神奈川県横浜市都筑区東方町321-6
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
ドラマ藤沢店,神奈川県藤沢市本藤沢5-6-8
ドラマ足利店,栃木県足利市朝倉町244-1
ナムコプラボ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
ネオブラボー,山口県防府市高倉１−３−３０
ハイテクセガもみの木村,長崎県諫早市小川町90-1
ハイテクセガ新居浜,愛媛県新居浜市徳常町6-8
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2
ハイテクランドセガハーバープレイス,大分県別府市餅ヶ浜町161-2
ハイテクランドセガ渋谷,東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階
ハイテクランドセガ立石,東京都葛飾区立石7-2-1
ハイテクランドセガ西中島,大阪府大阪市淀川区西中島3-16-8深井センタービル1・2F
ハローズガーデン新三田店,兵庫県三田市けやき台１−６−４三田ウッディタウンサティ２番街
バイパスレジャーランド加賀店,石川県加賀市箱宮町ヲ1-1
バイパスレジャーランド藤江新館,石川県金沢市藤江南2-105
バザールタウン舞鶴キッズワールド,京都府舞鶴市伊佐津200-5
パスカワールドグリーンランド店,熊本県荒尾市本井手１５７４−５４
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４
パームトップス,神奈川県厚木市中町4-15-9
ピタゴラス和歌山,和歌山県和歌山市土入７３−１
ピンクパンサーつくばみらい店,茨城県つくばみらい市陽光台1-14-1
ピンクパンサー下妻店,茨城県下妻市小島884-10
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町２３４−１ﾄﾞﾝｷﾎｰﾃ名古屋本店２階
フォルム武蔵境,東京都武蔵野市境南町２−７−２０ダイヤパレス第２　１階
フクイレジャーランドワイプラザ店,福井県福井市新保北1-303　ヤスサキワイプラザＢ棟2Ｆ
フタバボウル泉大津店,大阪府泉大津市松之浜町１−２−５３
フタバ図書アルティランド,広島県広島市西区草津南４−７−１　アルパーク北棟２Ｆ
フタバ図書ＧＩＧＡ春日店,福岡県春日市昇町8-1-1
フリスポ,茨城県筑西市神分472
フレスパランドカッタの湯,山口県宇部市海南町1675
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F
プラサカプコン志都呂店,静岡県浜松市西区志都呂町二丁目37番1号 ｲｵﾝﾓｰﾙ浜松志都呂3F
プラサカプコン成田店,千葉県成田市ウイング土屋２４イオン成田ＳＣ２Ｆ
プラサカプコン新居浜店,愛媛県新居浜市前田町８−８イオンモール新居浜２Ｆ
プラサカプコン横須賀店,神奈川県横須賀市若松町2-30モアーズシティ4F
プラサカプコン甲府店,山梨県中巨摩郡昭和町西条字北河原３７１７
プラサカプコン直方店,福岡県直方市湯野原２−１−１イオンモール直方２Ｆ
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３イオンモール羽生２階
プラサカプコン藤井寺,大阪府藤井寺市岡２丁目１０番１１号イオン藤井寺ＳＣ２Ｆ
プラサカプコン高知,高知県高知市秦南町１−４−８イオンモール高知３Ｆ
プレイステーションネーブル西宮店,兵庫県西宮市両度町6-10
プレイドーム松山,愛媛県松山市余戸南４丁目９−４０
プレイランドエフワンＲ,宮城県仙台市青葉区中央２−６−６タベイビルＢ１Ｆ
プレイランドキング円町店,京都府京都市中京区西ノ京西円町40
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
プレイランド大和鶴間,神奈川県大和市下鶴間１−３−１イトーヨーカドー大和鶴間店３Ｆ
プレイランド川崎,神奈川県川崎市川崎区小田栄2-2-1-3F
プレビ　アリオ橋本店,神奈川県相模原市緑区大山町１−２２アリオ橋本店内２階
プレビ　トナリエ四日市,三重県四日市市安島１−３−３１トナリエ５階
ベネクス川越店,埼玉県川越市大仙波340-1
ペップ魚町,福岡県北九州市小倉北区魚町２−４−２０
ポート２４八事店,愛知県名古屋市昭和区広路町北石坂102番地4
ポート２４浜松店,静岡県浜松市西区坪井町4183-1
マックスプラザ善通寺,香川県善通寺市中村町１７９８−２
マトリクス前橋,群馬県前橋市小相木町５５８−１
マンガ倉庫鹿児島店,鹿児島県鹿児島市小松原1-6-7
ミラクルイン中村橋,東京都練馬区貫井１−１−２ＹＫビル２Ｆ
メジャーロード24,新潟県見附市今町4-20-568-1
メジャーロード黒埼,新潟県新潟市西区山田３３０３番地（３３０２番地）
モンキートリック,大阪府寝屋川市香里南之町32-5　YNレジデンス香里2F
ユーズボウル久留米,福岡県久留米市東櫛原町字深町１１１０
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ
ユーズランド倉敷店,岡山県倉敷市水江１番地イオンモール倉敷２Ｆ
ユーズランド和歌山店,和歌山県和歌山市中字楠谷５７３イオンモール和歌山２Ｆ
ユーズランド太田店,群馬県太田市石原町８１番地イオンモール太田２Ｆ
ユーズランド日の出店,東京都西多摩郡日の出町大字平井237-3イオンモール日の出３Ｆ
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ
ユーズランド東浦店,愛知県知多郡東浦町緒川旭１３−２イオンモール東浦２Ｆ
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
ユーズランド高岡店,富山県高岡市下伏間江３８３イオンモール高岡２Ｆ
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４−１
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７
ラウンドワンみえ川越インターチェンジ店,三重県三重郡川越町南福崎８５１−１
ラウンドワンららぽーと和泉店,大阪府和泉市あゆみ野４−４−７　４階　４２１００番
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンららぽーと湘南平塚店,神奈川県平塚市天沼１０−１３階 ３３２８０番
ラウンドワンわらび店,埼玉県蕨市北町５−１−６
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０
ラウンドワンイーアス春日井店,愛知県春日井市六軒屋町東丘２２テナント区画番号３０１０
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000
ラウンドワンモレラ岐阜店,岐阜県本巣市三橋１１００
ラウンドワン三宮駅前店,兵庫県神戸市中央区小野柄通6-1-17
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１
ラウンドワン中川１号線店,愛知県名古屋市中川区法蔵町２−２３
ラウンドワン京都伏見店,京都府京都市伏見区下鳥羽平塚町１３１
ラウンドワン京都河原町店,京都府京都市中京区河原町通三条下ル山崎町２５０
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０
ラウンドワン伊丹店,兵庫県伊丹市昆陽７丁目２９
ラウンドワン佐賀店,佐賀県佐賀市兵庫北４−２−１
ラウンドワン入間店,埼玉県入間市小谷田３−７−２５
ラウンドワン八千代村上店,千葉県八千代市村上南１丁目５番地５４
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１−１
ラウンドワン加古川店,兵庫県加古川市尾上町安田325番6号
ラウンドワン千日前店,大阪府大阪市中央区難波１−３−１
ラウンドワン千種店,愛知県名古屋市千種区新栄3-20-17タイホウ千種駅前南ビル8階
ラウンドワン半田店,愛知県半田市瑞穂町６−７−８
ラウンドワン南砂店,東京都江東区南砂６−７−１５トピレックプラザ４Ｆ
ラウンドワン博多半道橋店,福岡県福岡市博多区半道橋２−２−８
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明１５
ラウンドワン和歌山店,和歌山県和歌山市小雑賀７３９−３
ラウンドワン城東放出店,大阪府大阪市城東区今福南3-4-38
ラウンドワン堺中央環状店,大阪府堺市東区石原町２−２４１
ラウンドワン堺駅前店,大阪府堺市堺区戎島町4-44-3
ラウンドワン大分店,大分県大分市萩原２−１３−１７
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４−９０−７
ラウンドワン大野城店,福岡県大野城市御笠川１−１８−１６
ラウンドワン奈良・ミナーラ店,奈良県奈良市二条大路南１−３−１ミ・ナーラ５階
ラウンドワン姫路飾磨店,兵庫県姫路市飾磨区中島１−２５４
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１
ラウンドワン守口店,大阪府守口市佐太東町２−６−１４ジャガーグリーン２Ｆ
ラウンドワン宮崎店,宮崎県宮崎市中村東３−４−６０
ラウンドワン富士店,静岡県富士市八代町４−１５
ラウンドワン小倉店,福岡県北九州市小倉北区西港町15-65
ラウンドワン山梨・石和店,山梨県笛吹市石和町広瀬７３７−１
ラウンドワン岡山妹尾店,岡山県岡山市南区妹尾３４１３−１
ラウンドワン岸和田店,大阪府岸和田市八阪町２−１１−１
ラウンドワン川崎大師店,神奈川県川崎市川崎区殿町１−５−１
ラウンドワン市原店,千葉県市原市八幡北町３−５−１
ラウンドワン市川鬼高店,千葉県市川市鬼高４−１−３
ラウンドワン広島店,広島県広島市中区立町３−１１
ラウンドワン府中本町駅前,東京都府中市本町１−１３−３カネタビル
ラウンドワン徳島・万代店,徳島県徳島市万代町４−１９−１
ラウンドワン新潟店,新潟県新潟市中央区美咲町２−１−３８
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
ラウンドワン朝霞店,埼玉県朝霞市膝折町２−１６−１０
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１−５０
ラウンドワン東大阪店,大阪府東大阪市若江南町１−２−１２
ラウンドワン東淀川店,大阪府大阪市東淀川区菅原７−１４−２８
ラウンドワン松山店,愛媛県松山市東長戸１−３−１０
ラウンドワン板橋店,東京都板橋区相生町１６−１３
ラウンドワン枚方店,大阪府枚方市高野道１−２０−２０
ラウンドワン梅田店,大阪府大阪市北区小松原町４−１６
ラウンドワン横浜綱島店,神奈川県横浜市港北区樽町２−６−４０Ｔ-PLATZ内
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２−８−１６
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平３−１−１
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１
ラウンドワン沖縄・南風原店,沖縄県島尻郡南風原町字兼城５５２番地
ラウンドワン沖縄・宜野湾店,沖縄県宜野湾市真志喜３−２８−８
ラウンドワン津・高茶屋店,三重県津市高茶屋小森町２７７−８
ラウンドワン浜大津アーカス店,滋賀県大津市浜町２−１浜大津アーカス内
ラウンドワン浜松店,静岡県浜松市東区天王町諏訪１９８１−１７
ラウンドワン熊本店,熊本県熊本市西区春日7-25-15
ラウンドワン町田店,東京都町田市森野１−１３−１４
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５
ラウンドワン福山店,広島県福山市明神町１−９−２８
ラウンドワン福岡天神店,福岡県福岡市中央区天神２−６−１２
ラウンドワン福島店,福島県福島市太田町14-18
ラウンドワン秋田店,秋田県秋田市卸町１−１−２
ラウンドワン習志野店,千葉県習志野市芝園１−４−５
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１
ラウンドワン豊中店,大阪府豊中市名神口１−１−１
ラウンドワン豊橋店,愛知県豊橋市大岩町字岩田２７−２
ラウンドワン郡山店,福島県郡山市向河原町４−５５
ラウンドワン金沢店,石川県金沢市横川6-120-1
ラウンドワン長野店,長野県長野市大字東和田８２７番地６
ラウンドワン青森店,青森県青森市浜田３−１−１
ラウンドワン静岡・駿河店,静岡県静岡市駿河区手越７５
ラウンドワン高松店,香川県高松市松島町２−７−４３
ラウンドワン高槻店,大阪府高槻市辻子３−６−４
ラウンドワン高津店,神奈川県川崎市高津区二子４−８−１
ラウンドワン高知店,高知県高知市南宝永町４−１２
ラウンドワン鳴海店,愛知県名古屋市緑区鳴海町杜若２８
ラウンドワン鹿児島宇宿店,鹿児島県鹿児島市宇宿2-2-2
ラウンドワンＪＲ尼崎駅前店,兵庫県尼崎市潮江１−４−５プラストいきいき館４階
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
ラッキー佐倉店,千葉県佐倉市井野1475
リッチモンド,熊本県八代市旭中央通２０−３
上越レジャーランボウル,新潟県上越市下門前薬島827-2
佐原ミナミボウル,千葉県香取市佐原イ-4200
千葉レジャーランド成東店,千葉県山武市姫島111-1
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
千葉レジャーランド野田店,千葉県野田市吉春776-1
半田メトロポリス,愛知県半田市旭町３−１１−１
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22
名古屋レジャーランド大高店,愛知県名古屋市緑区忠治山201番地
埼玉レジャーランド大宮ラクーン店,埼玉県さいたま市大宮区宮町1-60 RAKUUN５階
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
大垣メトロポリス,岐阜県大垣市三塚町西沼５２３−１
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
安城メトロポリス,愛知県安城市浜富町６−８
宮西スタジアム２,愛媛県松山市宮西二丁目４の４１
小倉メトロポリス,福岡県北九州市小倉北区西港町２７−５
小牧メトロポリス,愛知県小牧市間々片山１８１
小田原メトロポリス,神奈川県小田原市前川字相坪219-4
岐阜レジャーランド穂積店,岐阜県瑞穂市稲里630番地
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返２−２
新宿スポーツランド本館,東京都新宿区新宿3-22-12
最後の５ドル,福岡県糟屋郡粕屋町大字仲原2706仲原ファミリープラザ2F
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
東京レジャーランド吉祥寺店,東京都武蔵野市吉祥寺本町1-3-7　YSビル地下１階〜4階
東京レジャーランド池袋店,東京都豊島区東池袋１丁目１番２９号　サントロペ池袋２階３階
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
東京レジャーランド秋葉原店,東京都千代田区外神田1-9-5
東十条ゲームリボン,東京都北区東十条4-4-23
楽市楽座　イオンモール大和郡山店,奈良県大和郡山市下三橋町741-333イオンモール大和郡山店
楽市楽座イオンモール京都桂川店,京都府京都市南区久世高田町376-1イオンモール京都桂川店３階
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７イオンモール土浦ＳＣ３階
楽市楽座イオンモール川口前川店,埼玉県川口市前川1-1-11イオンモール川口前川店3F
楽市楽座イオンモール扶桑店,愛知県丹羽郡扶桑町南山名高塚5番地イオンモール扶桑2階
楽市楽座イオンモール松本店,長野県松本市中央四丁目９番５１号
楽市楽座イオンモール沖縄ライカム店,沖縄県中頭郡北中城村字沖縄ﾗｲｶﾑ1ｲｵﾝﾓｰﾙ沖縄ﾗｲｶﾑ4階
楽市楽座イオンモール福岡伊都店,福岡県福岡市西区北原1-3-1イオンモール福岡伊都SC別館
楽市楽座サンストリート浜北店,静岡県浜松市浜北区平口２８６１サンストリート浜北
楽市楽座砂津店,福岡県北九州市小倉北区砂津3-1-1チャチャタウン小倉B棟3F
楽市街道箱崎店,福岡県福岡市東区箱崎５丁目１番８号
池袋ゲーセンミカドINランブルプラザ,東京都豊島区東池袋１−４２−１９
沼津バッティングスタジアム,静岡県沼津市岡一色１９−２
滋賀レジャーランド大津店,滋賀県大津市におの浜３−１−４３　イオンタウンアヤハプラザ内
神奈川レジャーランド厚木店,神奈川県厚木市戸室5-31-1
福井レジャーランド板垣店,福井県福井市下馬３−１０２
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
群馬レジャーランド太田店,群馬県太田市西矢島町162-2
群馬レジャーランド渋川店,群馬県渋川市八木原1364
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル
西友川西ゲームパーク,兵庫県川西市栄町１６−８
豊川メトロポリス,愛知県豊川市下長山町上アライ１４−１
遊スペース アローズ,兵庫県神戸市西区丸塚２丁目９−１８
遊スペース マジカル,兵庫県神戸市中央区琴ノ緒町５−２−３
遊楽舎　姫路花田店,兵庫県姫路市花田町上原田２−１ビッグエムワン2F
遊楽館ジョイフル,宮城県気仙沼市田中前３−８−１２
遊道楽嘉瀬店,佐賀県佐賀市嘉瀬町中原２４８８−１
遊道楽新合川店,福岡県久留米市新合川1丁目6-7
遊道楽時津店,長崎県西彼杵郡時津町元村郷８６３−１０
関大前フタバボウル,大阪府吹田市千里山東１−７−１８
Ａ．Ｃ．グランド,岐阜県岐阜市茜部大川1-77
ＡＤＸマミー岡崎店,愛知県岡崎市井田新町６−１
ＡＭジャムジャムつくば店,茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ
ＡｍｕｓｅｍｅｎｔｃｉｔｙＧ−ＳＴＡ,鹿児島県薩摩川内市向田本町４９番
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１
ＢＩＧＢＡＮＧ滝川,北海道滝川市東町１−８−１４
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
ＦＡＳボウリングセンター,佐賀県唐津市栄町２５８１−１ＦＡＳボウリングセンター
Ｇ−ＳＴＡＧＥ七隈店,福岡県福岡市城南区七隈８−４−８
Ｇ−ＳＴＡＧＥ小倉,福岡県北九州市小倉北区浅野2-14-5あるあるCITY2階
Ｇ−ＳＴＡＧＥ飯塚店,福岡県飯塚市枝国６８０−２
Ｇ−ｐａｌａあべの,大阪府大阪市阿倍野区阿倍野筋３−１０−１あべのベルタ２Ｆ
Ｇ−ｐａｌａ小倉,福岡県北九州市小倉南区上葛原1−14−1
Ｇ−ｐａｌａ日田,大分県日田市友田997-1
Ｇ−ｐａｌａ時津,長崎県西彼杵郡時津町野田郷５９号
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１
ＧＡＭＥ　ＦＩＥＬＤ守山店,滋賀県守山市今浜町２６２０−５ピエリ守山1Ｆ
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４
ＧＲＥＡ,愛知県名古屋市千種区今池５−２２−１７
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ
ＧｉＧＯマーケットスクエアささしま,愛知県名古屋市中村区平池町４丁目６０番地１４号
ＧｉＧＯ仙台,宮城県仙台市青葉区中央２−５−５三経６０ビル
ＧｉＧＯ千葉,千葉県千葉市中央区富士見２−４−１
ＧｉＧＯ南越谷ラクーン,埼玉県越谷市南越谷１丁目１５番１号南越谷ラクーン２Ｆ
ＧｉＧＯ広島本通,広島県広島市中区本通９−３０ランドマークビル１Ｆ
ＧｉＧＯ新宿西口,東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ
ＧｉＧＯ柏,千葉県柏市柏１−１−１１丸井デパート内Ｂ１Ｆ
ＧｉＧＯ福岡天神,福岡県福岡市中央区天神２−７−６ＤＡＤＡビル
ＧｉＧＯ秋葉原１号館,東京都千代田区外神田１−１０ー９
ＧｉＧＯ秋葉原３号館１,東京都千代田区外神田１−１１−１１外神田１丁目ビルディング
ＧｉＧＯ秋葉原４号館,東京都千代田区外神田１−１５−９
ＧｉＧＯ立川,東京都立川市柴崎町３−２−１サザンビル１・２Ｆ
ＧｉＧＯ金山,愛知県名古屋市熱田区金山１−１９ー２
ＧｉＧＯ難波アビオン,大阪府大阪市浪速区難波中２−３−１５　ＭＭＯビルＢ１Ｆ〜３Ｆ
ＧｉＧＯ高田馬場,東京都新宿区高田馬場４−７−５高田馬場グランド東京
ＧｉＧＯｍｏｚｏワンダーシティ,愛知県名古屋市西区二方町４０番
Ｌａ・Ｆｉｅｓｔａ,愛知県豊橋市広小路１−６−２フェイス豊橋ビルＢ１
ＳＯＹＵ　GAME　FIELD湘南店,神奈川県藤沢市辻堂新町4-1-1湘南モールＦＩＬＬ2F
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内
ＳＯＹＵ　ＴＯＹ’Ｓ　ＮＹ　守谷店,茨城県守谷市百合ヶ丘3-249-1　イオンタウン守谷2Ｆ
ＳＯＹＵＧａｍｅＦｅｉｌｄ熊谷,埼玉県熊谷市銀座2-245ﾆｯﾄﾓｰﾙ4F
ＳＯＹＵＧａｍｅＦｉｅｌｄ能代店,秋田県能代市鰄渕字古屋布１番イオンタウン能代内
ＳＰＥＥＤ,山口県周南市大字久米３２１９
Ｓｐｉｃａ大宮南銀店,埼玉県さいたま市大宮区仲町1-57
ＴＨＥ　３ＲＤ　ＰＬＡＮＥＴ　富士,静岡県富士市永田町２−９９
ＴＨＥ３ＲＤＰＬＡＮＥＴ下通り店,熊本県熊本市中央区手取本町４番１２号
ＶＡＭＰ中川店,愛知県名古屋市中川区新家１−２００７
ＹＡＺ寝屋川店,大阪府寝屋川市石津中町25-26
