shop,adress,map
タイトーステーション 柏店,千葉県柏市柏２−３−１フーサワビル,"35.8613823 139.9727044"
ゲームセンターアルファー,千葉県柏市柏１−１−１１丸井ビルＢ１Ｆ,"35.8616855 139.9711177"
タイトーFステーション柏中央,千葉県柏市十余二２４９−５,"35.8820708 139.9593512"
柏ヤングボウル,千葉県柏市南柏中央11-1,"35.8459602 139.9570334"
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０,"35.8323319 140.0119419"
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59,"35.5541062 140.1260538"
ＧｉＧＯ千葉,千葉県千葉市中央区富士見２−４−１,"35.6115641 140.1158508"
ＧｉＧＯフェスティバルウォーク蘇我,千葉県千葉市中央区川崎町５１−１ハーバーシティ蘇我ＦＷ　１Ｆ,"35.592599050772186 140.11788251076734"
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1,"35.6102534 140.1182646"
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地,"35.6620233 140.1265534"
ＧｉＧＯ稲毛オーツーパーク,千葉県千葉市稲毛区園生町３８０−１,"35.65053167050292 140.1191122090538"
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４,"35.6575891 140.1277036"
ＧｉＧＯ幕張,千葉県千葉市美浜区ひび野１−８メッセ・アミューズ・モール１Ｆ,"35.6499867 140.0426445"
千葉レジャーランド野田店,千葉県野田市吉春776-1,"35.971570972918016 139.86530644550783"
アピナ野田七光台店,千葉県野田市七光台４−２,"35.9823488427348 139.8501378659928"
チャリオット辰巳店,千葉県市原市市原500-1,"35.5249124 140.121933"
ラウンドワン市原店,千葉県市原市八幡北町３−５−１,"35.5474924506885 140.1233713399506"
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15,"35.6651795 139.8933456"
ＧｉＧＯイオンスタイル新浦安,千葉県浦安市入船１−４−１イオンスタイル新浦安４Ｆ,"35.6489954 139.9149219"
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ,"35.7835829 139.9007767"
ＧｉＧＯ八柱,千葉県松戸市日暮１−１−１八柱駅第２ビル２Ｆ,"35.7913772 139.9377874"
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ〜３Ｆ,"35.70058132214141 139.98449028961863"
タイトーステーション 船橋店,千葉県船橋市本町１−６−１,"35.6998912 139.9859705"
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル,"35.6922777 140.0201815"
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18,"35.7553935 140.3024003"
ＤＡＩＫＥＩＥＮ,千葉県市川市大町３５９,"35.762464280696484 139.96915520960079"
スタジオプリモ本八幡店,千葉県市川市八幡２−１５−１０パティオ５階,"35.7213241 139.9275016"
本八幡ゲームUNO,千葉県市川市八幡２丁目１６ー６八幡ハタビルB1F,"35.7217275069151 139.9268372319118"
ラウンドワン市川鬼高店,千葉県市川市鬼高４−１−３,"35.71122068121047 139.92747949510647"
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F,"35.6925377 139.9266786"
ＧｉＧＯ我孫子,千葉県我孫子市柴崎字天王谷４７−１,"35.87827025915278 140.03005629147947"
ウェアハウス南流山店,千葉県流山市南流山４−１６−６,"35.8402121 139.9050133"
ラッキー佐倉店,千葉県佐倉市井野1475,"35.7184529 140.1362184"
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088,"35.72452856846103 140.06734110212892"
キャッツアイ八千代店,千葉県八千代市緑が丘西２丁目１３番地３　ｉｓｍ緑ヶ丘内,"35.7335775 140.0724747"
ＧｉＧＯ旭,千葉県旭市二字野場３１５０−１,"35.72356951025296 140.6395598295776"
シルクハット津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階,"35.6903923 140.0222009"
ラウンドワン習志野店,千葉県習志野市芝園１−４−５,"35.660210231751456 140.02261003558192"
アミュージアム茂原店,千葉県茂原市高師１６１９−１,"35.43677641311152 140.2844057347961"
茂原ヤングボウル,千葉県茂原市高師４番地５,"35.4350236 140.2931729"
館山ヤングボウル,千葉県館山市北条1564,"34.990731801493446 139.86736184239726"
イスカンダル木更津店,千葉県木更津市潮見４−１−２,"35.3696837 139.9175383"
アピナ印西店,千葉県印西市原１−２ビッグホップガーデンモール印西２Ｆ,"35.8033914 140.1649455"
千葉レジャーランド成東店,千葉県山武市姫島111-1,"35.588439702303326 140.3901992637543"
アドアーズ池袋東口,東京都豊島区東池袋１−４１−４池袋とうきゅうビル１〜２階,"35.7317022466494 139.71320838283805"
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１,"35.73013524529164 139.71520489203067"
ＧｉＧＯ総本店,東京都豊島区東池袋一丁目１３番６号,"35.7295307 139.7147102"
タイトーステーション 池袋ロサ店,東京都豊島区西池袋１−３７−１２ロサ会館１階,"35.7325279 139.7093304"
