プリチャン、第一弾のやつなんでかなり古い稼働店舗ぽい

"○×△□（ラくトス）","東京都葛飾区新小岩１－４４－６"
"アムジーＫＴなっつべりぃ","神奈川県川崎市川崎区港町１２－１　イトーヨーカドー川崎港町店２Ｆ"
"アムズ下通り","熊本県熊本市中央区手取本町４－１２"
"アル・クリオゲームコーナー","兵庫県淡路市志筑新島１０番地の３"
"アル・プラザあまがさき","兵庫県尼崎市潮江１－３－１玩具売場"
"アル・プラザつかしん","兵庫県尼崎市塚口本町４－８－１玩具売場"
"アル・プラザアミ","福井県坂井市春江町随応寺１６－１１"
"アル・プラザベル","福井県福井市花堂南２－１６－１玩具売場"
"アル・プラザ亀岡","京都府亀岡市篠町野条上又１１－１玩具売場"
"アル・プラザ京田辺","京都府京田辺市田辺中央５－２－１玩具売場"
"アル・プラザ八日市","滋賀県東近江市八日市浜野町３－１"
"アル・プラザ加賀","石川県加賀市作見町ル２５－１玩具売場"
"アル・プラザ城陽","京都府城陽市富野荒見田１１２玩具売場"
"アル・プラザ守山","滋賀県守山市播磨田町１８５－１玩具売場"
"アル・プラザ富山","富山県富山市婦中町下轡田１６５－１玩具売場"
"アル・プラザ小松","石川県小松市園町八２３－１玩具売場"
"アル・プラザ敦賀","福井県敦賀市白銀町１１－５玩具売場"
"アル・プラザ木津","京都府木津川市相楽城西１５番地玩具売場"
"アル・プラザ枚方","大阪府枚方市津田元町１－４－１玩具売場"
"アル・プラザ栗東","滋賀県栗東市綣２－３－２２"
"アル・プラザ水口","滋賀県甲賀市水口町本綾野５６６－１玩具売場"
"アル・プラザ瀬田","滋賀県大津市月輪１－３－８"
"アル・プラザ茨木","大阪府茨木市上郡２－１２－８玩具売場"
"アル・プラザ草津","滋賀県草津市西渋川１－２３－３０玩具売場"
"アル・プラザ近江八幡","滋賀県近江八幡市桜宮町２０２－１玩具売場"
"アル・プラザ醍醐","京都府京都市伏見区醍醐高畑町１－３７玩具売場"
"アル・プラザ野洲","滋賀県野洲市小篠原１０００玩具利場"
"アル・プラザ金沢","石川県金沢市諸江町３０－１玩具売場"
"アル・プラザ長浜","滋賀県長浜市小堀町４５０"
"アル・プラザ香里園","大阪府寝屋川市日新町５－５玩具売場"
"アル・プラザ高槻","大阪府高槻市芥川町１－２Ｃ－２０１玩具売場"
"アル・プラザ鯖江","福井県鯖江市下河端町１６字下町１６番１玩具売場"
"アル・プラザ鶴見","岐阜県大垣市鶴見町字上渡瀬６４１－２玩具売場"
"アル・プラザ鹿島","石川県鹿島郡中能登町井田と部１－１玩具売場"
"イエローグローブ今金","北海道瀬棚郡今金町字神丘５４６－２３"
