第8弾「CHUNITHM SUN PLUS オリジナルグッズ,住所
シルクハット八王子,東京都八王子市旭町２−５　八王子ツインタワービル３階
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F
ドットコム葛西,東京都江戸川区中葛西３−３５−５
キャロム青梅店,東京都青梅市千ケ瀬町4-326-1
セガワールド葛西,東京都江戸川区東葛西9-3-3イトーヨーカドー3F
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
ラウンドワン板橋店,東京都板橋区相生町１６−１３
ｎａｍｃｏ王子サンスクエア店,東京都北区王子１−４−１サンスクエア２階
ゲームＷ,東京都豊島区南長崎5-27-6
ＧｉＧＯイオンモールむさし村山,東京都武蔵村山市榎１−１−３−２０５９
アピナ八王子みなみ野店,東京都八王子市みなみ野１−２−１アクロスモール３Ｆ
アドアーズ新小岩,東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
ユーズランド日の出店,東京都西多摩郡日の出町大字平井237-3イオンモール日の出３Ｆ
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
アドアーズ上野アメ横,東京都台東区上野４−９−１４上野Ｋ．ＫビルＢ１〜４階
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平３−１−１
ＧｉＧＯ秋葉原３号館１,東京都千代田区外神田１−１１−１１外神田１丁目ビルディング
ＧｉＧＯ赤羽,東京都北区赤羽１−７−９赤羽第一葉山ビルＢ１
ラウンドワン府中本町駅前,東京都府中市本町１−１３−３カネタビル
フォルム武蔵境,東京都武蔵野市境南町２−７−２０ダイヤパレス第２　１階
タイトーステーション錦糸町楽天地店,東京都墨田区江東橋４−２７−１４楽天地ビルＢ１Ｆ
SOYU ZAURUS WORLD 大森店　,東京都大田区大森北2-13-1イトーヨーカドー大森店3F
ソユープレイランドソピア八王子店,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000
ザ・サードプラネット多摩センター店,東京都多摩市落合１−４１−１マグレブウェスト１階・２階
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１
ＧｉＧＯ竹の塚,東京都足立区竹の塚６−８−６ピーくんＰｌａｚａ−ｂ
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル
ＧｉＧＯ新宿歌舞伎町,東京都新宿区歌舞伎町１−２１ー１第二東亜会館１階・２階
タイトーステーション立川北口店,東京都立川市曙町２−４−５クリサス立川２・３Ｆ
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
ＧｉＧＯ町田,東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１
タイトーステーションＢＩＧＦＵＮ平和島店,東京都大田区平和島１丁目１−１ＢＩＧＦＵＮ平和島
ＧｉＧＯ赤羽駅前,東京都北区赤羽１−２−４
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル
ＧｉＧＯ南町田ＧＢＰシアター,東京都町田市鶴間３−４−１ワンダーシアター１階Ｈ１０３区画
ウェアハウス一橋学園店,東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ
ｎａｍｃｏ池袋店ＲＥＤ,東京都豊島区東池袋１−２２−１０　ＨＵＭＡＸパビリオン１Ｆ
ゲームセンターＷＩＬＬ　ＷＧＣ,東京都立川市羽衣町２−４−１３羽衣長田ビル１０１ＷＧＣ
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階
東京レジャーランド池袋店,東京都豊島区東池袋１丁目１番２９号　サントロペ池袋２階３階
ＧｉＧＯ高田馬場,東京都新宿区高田馬場４−７−５高田馬場グランド東京
タイトーＦステーション吉祥寺ＪＯＹ店,東京都武蔵野市吉祥寺本町１丁目８‐２３　河田ビル
ゲームパニック秋葉原,東京都千代田区外神田1-13-1　Akihabara ex
東京レジャーランド吉祥寺店,東京都武蔵野市吉祥寺本町1-3-7　YSビル地下１階〜4階
GiGO池袋3号館,東京都豊島区東池袋1-1-4池袋北辰ビル
ｎａｍｃｏ秋葉原,東京都千代田区外神田１丁目１５番９号
ＧｉＧＯ本厚木,神奈川県厚木市中町４−１５−９
ムトス相模原店,神奈川県相模原市中央区中央２−１−５
ｎａｍｃｏ都筑店,神奈川県横浜市都筑区川和町８４６−１
アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西2-1-28
ＧｉＧＯ相模大野,神奈川県相模原市南区相模大野３−１３−２東和ビル２Ｆ・３Ｆ
アドアーズ大和店Ａ館,神奈川県大和市大和東１−４−３大黒屋ビル１、２階
ベネクス平塚店,神奈川県平塚市四之宮６−１０−２７
シルクハット本厚木,神奈川県厚木市中町３−４−２２第二会田ビル２階
シルクハット伊勢佐木町,神奈川県横浜市中区伊勢佐木町３—９６日活会館３階
シルクハット横須賀中央,神奈川県横須賀市若松町１−５プライムビル２階
ラウンドワン高津店,神奈川県川崎市高津区二子４−８−１
タイトーステーション溝の口,神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階
タイトーステーション戸塚西口店,神奈川県横浜市戸塚区戸塚町４０２３
ゲームインファンファン藤沢店,神奈川県藤沢市鵠沼石上１−３−８
プラサカプコン横須賀店,神奈川県横須賀市若松町2-30モアーズシティ4F
タイトーステーション 小田原店,神奈川県小田原市栄町１−３−１２
タイトー小田原シティーモール店,神奈川県小田原市前川１２０　フレスポ小田原シティーモール２Ｆ
ゲームコスモ金沢文庫店,神奈川県横浜市金沢区谷津町344
ジョイランド中原,神奈川県川崎市中原区上小田中6-19-6
ラウンドワン横浜綱島店,神奈川県横浜市港北区樽町２−６−４０Ｔ-PLATZ内
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２−８−１６
ゲームコスモ鶴見店,神奈川県横浜市鶴見区豊岡町１７−４
ベネクス川崎,神奈川県川崎市川崎区鋼管通り４−８−３
ＧｉＧＯ綱島,神奈川県横浜市港北区綱島西２−６−２９
神奈川レジャーランド厚木店,神奈川県厚木市戸室5-31-1
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階
シルクハット大船,神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ
ＧｉＧＯ新杉田,神奈川県横浜市磯子区杉田１−１−１らびすた新杉田２Ｆ
ラウンドワン川崎大師店,神奈川県川崎市川崎区殿町１−５−１
ドラマ藤沢店,神奈川県藤沢市本藤沢5-6-8
タイトーステーション海老名ビナウォーク店,神奈川県海老名市中央１−１８−１　ビナウォーク６番館２Ｆ
ドラマ港北インター店,神奈川県横浜市都筑区東方町321-6
イミグランデ大和店,神奈川県大和市鶴間2-12-27
アドアーズ橋本,神奈川県相模原市緑区橋本３−３−１ＳＩＮＧビル２Ｆ
楽市楽座湘南藤沢店,神奈川県藤沢市辻堂新町4-3-5ﾐｽﾀｰﾏｯｸｽ湘南藤沢SC２F
イミグランデ本厚木店,神奈川県厚木市中町３−２−１
アドアーズ藤沢北口,神奈川県藤沢市藤沢４６０−１　３〜４Ｆ
プレイランド大和鶴間,神奈川県大和市下鶴間１−３−１イトーヨーカドー大和鶴間店３Ｆ
タイトーステーション横浜西口五番街店,神奈川県横浜市西区南幸１−１２ー９
タイトーステーション 藤沢店,神奈川県藤沢市南藤沢２１−１
プレビ　アリオ橋本店,神奈川県相模原市緑区大山町１−２２アリオ橋本店内２階
プレイランド川崎,神奈川県川崎市川崎区小田栄2-2-1-3F
ゲームファンタジア平塚,神奈川県平塚市紅谷町１４−２１
ＳＯＹＵGAME　FIELD湘南店,神奈川県藤沢市辻堂新町4-1-1湘南モールＦＩＬＬ2F
ＧｉＧＯダイナシティ小田原,神奈川県小田原市中里２９６−１ダイナシティイーストモール３Ｆ
ＧｉＧＯイト—ヨーカドー古淵,神奈川県相模原市南区古淵３−１３−３３イトーヨーカドー３Ｆ
イミグランデ溝口店,神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階
イミグランデ日吉店３,神奈川県横浜市港北区日吉2−2−4
ラウンドワンららぽーと湘南平塚店,神奈川県平塚市天沼１０−１３階 ３３２８０番
ＧｉＧＯ海老名,神奈川県海老名市中央一丁目４番３１号海老名プラザビル１階
ＧｉＧＯセンター南,神奈川県横浜市都筑区茅ヶ崎中央３−２５
タイトーFステーション向ヶ丘遊園店,神奈川県川崎市多摩区登戸2718-1
ソユーゲームフィールド上大岡店,神奈川県横浜市港南区上大岡西１−１８−３　ミオカリスト館６階
カプコサーカス新潟東店,新潟県新潟市東区大形本町３−１−２　ジャスコシティ新潟東
ゲームセンターテクノポリス,新潟県長岡市要町1-8-50
上越レジャーランボウル,新潟県上越市下門前薬島827-2
メジャーロード24,新潟県見附市今町4-20-568-1
タイトーＦステーション燕三条店,新潟県燕市井土巻３−１５０イオン県央店アメニティ棟１Ｆ
ｎａｍｃｏ新潟店,新潟県新潟市中央区南笹口１−１−１　ひもろぎビル２Ｆ
メジャーロード黒埼,新潟県新潟市西区山田３３０３番地（３３０２番地）
ラウンドワン新潟店,新潟県新潟市中央区美咲町２−１−３８
アピナ上越インター店,新潟県上越市下門前１６６１
アピナ長岡店,新潟県長岡市堺東町２２
タイトーＦステーション上越店,新潟県上越市富岡3524 J-MAXシアター内1F
プレイハウス　エリナ,新潟県新潟市西蒲区津雲田６４０
プレイゾーン　バンブー,新潟県南魚沼市竹俣６０ー５
トヤマレジャーランド呉羽店,富山県富山市高木字貝塚2054
サービスエリアIN高岡,富山県高岡市下石瀬857-1
サービスエリアイン入善,富山県下新川郡入善町上野7253-2
ゲームスポット２０７,富山県高岡市鐘紡町１６５５−３
タイトーステーション ファボーレ婦中店,富山県富山市婦中町下轡田１６５−１フューチャーファボーレ２F
ユーズランド高岡店,富山県高岡市下伏間江３８３イオンモール高岡２Ｆ
アピナ富山新庄店,富山県富山市荒川３−２−１２
アピナ富山豊田店,富山県富山市豊田町２丁目１２−６６
キッズサーカス五福店,富山県富山市五福1143-1
アピナ富山南店,富山県富山市堀川町３５５−３　マイプラザ内
ＧｉＧＯイオンモール高岡,富山県高岡市下伏間３８３　イオンモール高岡２Ｆ２００１Ａ区画
ゲームスポットアップル,富山県魚津市吉島二丁目４０７−１
ＧｉＧＯマリエとやま,富山県富山市桜町１丁目１番６１号マリエとやま４Ｆ
ＧｉＧＯアルプラザ金沢,石川県金沢市諸江町３０−１
バイパスレジャーランド藤江新館,石川県金沢市藤江南2-105
タイトーステーション 金沢店,石川県金沢市片町２−１−７宇都宮片町ビル
バイパスレジャーランド加賀店,石川県加賀市箱宮町ヲ1-1
アピナ野々市バッティングスタジアム,石川県野々市市若松町５−５
ラウンドワン金沢店,石川県金沢市横川6-120-1
ＧｉＧＯイオンタウン金沢示野,石川県金沢市戸板西２−１
アピナ野々市店,石川県野々市市白山町４−１イオンタウン野々市店内
楽市楽座イオンモール新小松店,石川県小松市清六町３１５イオンモール新小松店２Ｆ
ＭＩＲＡＩＮＯイオンモール白山店,石川県白山市横江町５００１番地
ＧｉＧＯ福井,福井県福井市丸山１−４１０
ＧｉＧＯ武生,福井県越前市新町３−１３−４
フクイレジャーランドワイプラザ店,福井県福井市新保北1-303　ヤスサキワイプラザＢ棟2Ｆ
ＪＯＹＬＡＮＤ敦賀店,福井県敦賀市木崎４０号土三田１２番
アル・プラザボウル鯖江,福井県鯖江市下河端町１６字下町６−１
福井レジャーランド板垣店,福井県福井市下馬３−１０２
タイトーＦステーションアル・プラザ鯖江店,福井県鯖江市下河端町１６−１６−１アルプラザ鯖江アミューズ棟内
ゲームパニック甲府,山梨県甲府市国母5-20-24
プラサカプコン甲府店,山梨県中巨摩郡昭和町西条字北河原３７１７
ラウンドワン山梨・石和店,山梨県笛吹市石和町広瀬７３７−１
楽市楽座イオンモール甲府店,山梨県中巨摩郡昭和町飯喰１５０５−１イオンモール２０１１
ＧｉＧＯ上田,長野県上田市大字上田１８４７−１
アピナ長野村山店,長野県長野市村山５０２−１
アピナ長野大橋店,長野県長野市若里７−９−１２
セガワールド豊科,長野県安曇野市豊科南穂高1115
アピナ伊那店,長野県伊那市大字西町５０９３
ＧｉＧＯ松本,長野県松本市渚１−７−１なぎさライフサイト内
アピナ松本店,長野県松本市双葉１９−１０
ＧｉＧＯ岡谷,長野県岡谷市塚間町２−１−２１
ラウンドワン長野店,長野県長野市大字東和田８２７番地６
アピナ塩尻店,長野県塩尻市広丘野村１７９４−１
アピナ飯田店,長野県飯田市座光寺３７２８−１
THE 3RD PLANET 長野大通り店,長野県長野市大字鶴賀権堂町１５０６−３長電権堂第２ビル１Ｆ
アピナ長野川中島店,長野県長野市川中島町御厨９６７−１
アピナ佐久インター店,長野県佐久市岩村田北１−１３−１
ソユーゲームフィールド長野店,長野県長野市三輪９−４３−２４イオンタウン長野三輪店
アピナ上田店,長野県上田市秋和３５９−１
楽市楽座イオンモール松本店,長野県松本市中央四丁目９番５１号
セガワールド高山,岐阜県高山市上岡本町7-7
岐阜レジャーランド穂積店,岐阜県瑞穂市稲里630番地
Ａ．Ｃ．グランド,岐阜県岐阜市茜部大川1-77
コミ丸アリババ大垣店,岐阜県大垣市池尻町９４０−１
ＧｉＧＯマーゴ関,岐阜県関市倉知５１６
大垣メトロポリス,岐阜県大垣市三塚町西沼５２３−１
オリエンタルバッティング可児店,岐阜県可児市今渡６９５−１
ｎａｍｃｏイオンモール各務原店,岐阜県各務原市那加萱場町３−８イオンモール各務原店２Ｆ
ＧｉＧＯアクアウォーク大垣,岐阜県大垣市林町６ー８０ー２１アクアウォーク大垣２Ｆ
ラウンドワンモレラ岐阜店,岐阜県本巣市三橋１１００
アピナ各務原店,岐阜県各務原市蘇原花園町２丁目９番地１
ＭＩＲＡＩＮＯイオンモール土岐店,岐阜県土岐市土岐津町土岐口中山１３７２番１
THE 3RD PLANET OZ浜松店,静岡県浜松市東区宮竹町322-1
ＴＨＥ　３ＲＤ　ＰＬＡＮＥＴ富士,静岡県富士市永田町２−９９
THE 3RD PLANET 焼津店,静岡県焼津市八楠3-18-5
ラウンドワン富士店,静岡県富士市八代町４−１５
ＧｉＧＯ掛川,静岡県掛川市細田２４８
ＧｉＧＯ袋井,静岡県袋井市川井１１４２−１
THE 3RD PLANET 島田店,静岡県島田市中溝町2531
アップル新北街道店,静岡県静岡市葵区沓谷5-13-4
アピナ焼津店,静岡県焼津市道原５８５
ＧｉＧＯサントムーン柿田川,静岡県駿東郡清水町玉川６１−２サントムーン柿田川２Ｆ
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町1-1-5
ジョイランドアミューズ諏訪店,静岡県沼津市大諏訪２０−２
アピナ浜松店,静岡県浜松市中区葵西２−２７−１０
タイトーステーション新浜松ザザシティ店,静岡県浜松市中区鍛冶町１５サザンシティ西館２Ｆ
プラサカプコン志都呂店,静岡県浜松市西区志都呂町二丁目37番1号 ｲｵﾝﾓｰﾙ浜松志都呂3F
楽市楽座サンストリート浜北店,静岡県浜松市浜北区平口２８６１サンストリート浜北
ラウンドワン浜松店,静岡県浜松市東区天王町諏訪１９８１−１７
沼津バッティングスタジアム,静岡県沼津市岡一色１９−２
アップルグランリバー大井川店,静岡県焼津市下江留１３２７
ラウンドワン静岡・駿河店,静岡県静岡市駿河区手越７５
ソユー竜宮タウン静岡店,静岡県静岡市駿河区石田1-5-1アピタ静岡ＳＣ2Ｆ
ＧｉＧＯベイドリーム清水,静岡県静岡市清水区駒越北８−１ベイドリーム清水２Ｆ
アミューズメントパーク静岡店,静岡県静岡市葵区柚木１０２６番地３階
アップル島田店,静岡県島田市宝来町8-5
タイトーＦステーション静岡,静岡県静岡市葵区呉服町２−５−４　ふしみや第２ビル
アピナ磐田店,静岡県磐田市西貝塚横須賀道北3690イオンタウン磐田内
タイトーＦステーションイオン富士宮店,静岡県富士宮市浅間町１−８
スーパーウェーブ静岡,静岡県静岡市清水区鳥坂８６０
ＧｉＧＯ静岡,静岡県静岡市葵区七間町４番地
半田メトロポリス,愛知県半田市旭町３−１１−１
ＧｉＧＯ金山,愛知県名古屋市熱田区金山１−１９ー２
ＧｉＧＯ岡崎,愛知県岡崎市上地３−５０−４
アミューズメントプラザワイド,愛知県東海市名和町二番割上16-2
ＧｉＧＯ春日井,愛知県春日井市岩野町４１８０
ＧｉＧＯ東名ボール,愛知県瀬戸市西原町２−１１４
ＧｉＧＯ豊田,愛知県豊田市深田町１−６５−１
安城メトロポリス,愛知県安城市浜富町６−８
豊川メトロポリス,愛知県豊川市下長山町上アライ１４−１
ＧｉＧＯギャラリエアピタ知立,愛知県知立市長篠町大山１８−１ギャラリエアピタ１Ｆ
ＧｉＧＯ安城,愛知県安城市百石町２−３５−１３
アミューズメントプラザ　マルシン,愛知県刈谷市池田町4-609
ＧｉＧＯ豊橋飯村,愛知県豊橋市飯村町字西山２５−１２１
名古屋レジャーランド大高店,愛知県名古屋市緑区忠治山201番地
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22
ラウンドワン千種店,愛知県名古屋市千種区新栄3-20-17タイホウ千種駅前南ビル8階
ラウンドワン鳴海店,愛知県名古屋市緑区鳴海町杜若２８
M's PARK豊田店,愛知県豊田市寿町３−２１、２２
M's PARK刈谷店,愛知県刈谷市稲場町３−２０６
ゲーム キングジョイ,愛知県名古屋市中区栄3-3-32
オークランドボウル春日井,愛知県春日井市鳥居松町３−１１　１階ゲームコーナー
コムテックタワー,愛知県名古屋市中村区名駅４−１０−２０
コムテックスクウェア,愛知県名古屋市中区金山1-16-8
スペースシャトル塩釜口,愛知県名古屋市天白区塩釜口２−４１４
ユーズランド東浦店,愛知県知多郡東浦町緒川旭１３−２イオンモール東浦２Ｆ
ＧｉＧＯ尾西,愛知県一宮市篭屋３−９−７アソビックスびさい１Ｆ
ゲームファンタジアン岡崎店,愛知県岡崎市錦町２−４
楽市街道 名古屋店,愛知県北名古屋市中之郷新明４５−１
小牧メトロポリス,愛知県小牧市村中新町３３
ラウンドワン中川１号線店,愛知県名古屋市中川区法蔵町２−２３
ＧｉＧＯイオンモール木曽川,愛知県一宮市木曽川町黒田八ヶ池２５−１イオンモール木曽川３Ｆ
楽市楽座イオンモール扶桑店,愛知県丹羽郡扶桑町南山名高塚5番地イオンモール扶桑2階
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明１５
ムー大陸西尾シャオ店,愛知県西尾市下町御城下２３−１シャオ２Ｆ
ＶＡＭＰ中川店,愛知県名古屋市中川区新家１−２００７
ｎａｍｃｏイオンモールナゴヤドーム前店,愛知県名古屋市東区矢田南4丁目102-3ｲｵﾝﾓｰﾙﾅｺﾞﾔﾄﾞｰﾑ前SC3F
ＧｉＧＯイオンタウン刈谷,愛知県刈谷市東境町京和１
ラウンドワン半田店,愛知県半田市瑞穂町６−７−８
ポート２４八事店,愛知県名古屋市昭和区広路町北石坂102番地4
ラウンドワン豊橋店,愛知県豊橋市大岩町字岩田２７−２
ゲームファンタジアン長久手店,愛知県長久手市武蔵塚705
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町２３４−１ﾄﾞﾝｷﾎｰﾃ名古屋本店２階
ｎａｍｃｏイオンモール大高店,愛知県名古屋市緑区南大高2-450ｲｵﾝ大高3階
ＡＤＸマミー春日井Ｒ１５５出川店,愛知県春日井市不二ヶ丘１丁目５番地
ゲームランド岡崎店,愛知県岡崎市戸崎町字外山３８−５イオンモール岡崎　シネコン棟
ＧｉＧＯｍｏｚｏワンダーシティ,愛知県名古屋市西区二方町４０番
プラサカプコン稲沢店,愛知県稲沢市長野７丁目１−２リーフウォーク稲沢２Ｆ
ＡＤＸマミー岡崎店,愛知県岡崎市井田新町６−１
タイトーステーション豊田ＧＡＺＡ,愛知県豊田市喜多町１−１４０ＧＡＺＡ３階
SOYU BREMEN TOWN 鳴海店,愛知県名古屋市緑区鳴海町字伝治山3-9　アピタ鳴海店2F
ＧｉＧＯイオンタウン名西,愛知県名古屋市西区香呑町６−４９−１イオンタウン名西２Ｆ
楽市楽座イオンモール名古屋茶屋店,愛知県名古屋市港区西茶屋２−１１イオンモール名古屋茶屋３階
ｎａｍｃｏ名古屋駅前店,愛知県名古屋市中村区椿町６−６ニッセイ名古屋西ビル別館Ｂ１
アミューズファクトリー常滑店,愛知県常滑市りんくう町2-20-3イオンモール常滑2F
ｎａｍｃｏイオンモール長久手店,愛知県長久手市勝入塚５０１　イオンモール長久手３Ｆ
プラサカプコン徳重店,愛知県名古屋市緑区元徳重１丁目５０５ビルズウォーク徳重２階
ＧｉＧＯプライムツリー赤池,愛知県日進市赤池町箕ノ手１番
タイトーステーションフェドラ大須店,愛知県名古屋市中区大須３−３０−３１
アミュージアム津島店,愛知県津島市大字津島字北新開351番地ﾖｼﾂﾞﾔ津島本店ｼﾈﾏ館2F
ＧｉＧＯマーケットスクエアささしま,愛知県名古屋市中村区平池町４丁目６０番地１４号
ゲーム　アルカナ,愛知県稲沢市朝府町２−３３
ラウンドワンイーアス春日井店,愛知県春日井市六軒屋町東丘２２テナント区画番号３０１０
アピナ豊橋,愛知県豊橋市藤沢町１４１ホリデイ・スクエアＡＭ棟１階
ダイナソアエイジ,愛知県大府市東新町三丁目８８番地
ＭＩＲＡＩＮＯ豊川店,愛知県豊川市白鳥町兎足１丁目１６　イオンモール豊川３階
ゲームチャオ松阪店,三重県松阪市船江町７８０
ＧｉＧＯ生桑,三重県四日市市生桑町字川原崎２９９−１
ドリームキャンディ,三重県伊賀市小田町７１１−１
アソビックスゲームワールド,三重県三重郡朝日町小向181
ＧｉＧＯアドバンスモール松阪,三重県松阪市田村町２３５−１
ＧｉＧＯ桑名,三重県桑名市大仲新田宮前１５８
ＧｉＧＯ久居,三重県津市久居明神町字風早２５３４−１
プレビ　トナリエ四日市,三重県四日市市安島１−３−３１トナリエ５階
アピナ四日市店,三重県四日市市泊小柳町４−３４
ｎａｍｃｏイオンモール鈴鹿,三重県鈴鹿市庄野羽山４−１−２イオンモール鈴鹿２Ｆ
ＧｉＧＯ名張,三重県名張市希央台３番地１５
ラウンドワンみえ川越インターチェンジ店,三重県三重郡川越町南福崎８５１−１
ラウンドワン津・高茶屋店,三重県津市高茶屋小森町２７７−８
ＧｉＧＯ伊勢,三重県伊勢市中須町６６６
アピナ鈴鹿店,三重県鈴鹿市庄野羽山4-20-1イオンタウン鈴鹿2階
楽市楽座イオンモール東員店,三重県員弁郡東員町大字長深字築田５１０−１
アミパラ鈴鹿店,三重県鈴鹿市西条町字東澤430-1
アミューズメントスペースコミ丸四日市店,三重県四日市市鵜の森1-3-19
ＧｉＧＯ甲西,滋賀県湖南市夏見字二ツ橋３５６−１
ＧｉＧＯエイスクエア草津,滋賀県草津市西渋川１−２３−２３エイスクエアＳＡＲＡ南館２階
ｎａｍｃｏビバシティ彦根店,滋賀県彦根市竹ケ鼻町４３−１ビバシティ彦根２Ｆ
ACT草津ACTION,滋賀県草津市野路町1161-1
ゲームディーノ彦根店,滋賀県彦根市西沼波町１６６
エースレーン近江八幡店,滋賀県近江八幡市出町７３６アクトビル１Ｆ
エースレーン守山,滋賀県守山市播磨田町２３１−４ＡＣＴ守山３番館内
エースレーン愛知川,滋賀県愛知郡愛荘町長野２００
エースレーン堅田,滋賀県大津市今堅田２−４０−１０
ゲームランド草津店,滋賀県草津市新浜町３００番地イオンモール草津３階
タイトーＦステーションイオン近江八幡店,滋賀県近江八幡市鷹飼町南３−７　１階
ラウンドワン浜大津アーカス店,滋賀県大津市浜町２−１浜大津アーカス内
滋賀レジャーランド大津店,滋賀県大津市におの浜３−１−４３　イオンタウンアヤハプラザ内
ＧｉＧＯＭＯＭＯテラス京都伏見,京都府京都市伏見区桃山町山ノ下３２京都ＳＣビルＡＭ棟２Ｆ
ラウンドワン京都河原町店,京都府京都市中京区河原町通三条下ル山崎町２５０
プレイランドキング円町店,京都府京都市中京区西ノ京西円町40
プラサカプコン京都店,京都府京都市右京区西院追分町２５−１イオンモール京都五条３Ｆ
ラウンドワン京都伏見店,京都府京都市伏見区下鳥羽平塚町１３１
サープラ京都あそびタウン,京都府京都市中京区西ノ京栂尾町１０７
パルケ上賀茂店,京都府京都市北区上賀茂西河原１−１
あそＶＩＶＡゲームセンター,京都府福知山市字堀小字下高田２１４６−１
ｎａｍｃｏイオンモールＫＹＯＴＯ店,京都府京都市南区西九条鳥居口町1ｲｵﾝﾓｰﾙKYOTO SAKURA館4階
バザールタウン舞鶴キッズワールド,京都府舞鶴市伊佐津200-5
楽市楽座イオンモール京都桂川店,京都府京都市南区久世高田町376-1イオンモール京都桂川店３階
ＧｉＧＯ難波アビオン,大阪府大阪市浪速区難波中２−３−１５　ＭＭＯビルＢ１Ｆ〜３Ｆ
ＧｉＧＯ布施,大阪府東大阪市長堂１−１−１ロンモール布施内
ＧｉＧＯ東梅田,大阪府大阪市北区堂山町9-28
ＧｉＧＯ大阪第４ビル,大阪府大阪市北区梅田１−１１−４駅前第４ビルＢ１Ｆ
ＧｉＧＯあべのアポロ３階,大阪府大阪市阿倍野区阿倍野筋１−５−３１アポロビル３Ｆ
ＧｉＧＯ今福,大阪府大阪市城東区今福東１−９−３４
ＧｉＧＯ枚方,大阪府枚方市須山町８３−１サンシャインプラザ枚方内
スポーツセンター　２１世紀,大阪府堺市南区岩室108-1
ラウンドワン豊中店,大阪府豊中市名神口１−１−１
ラウンドワン守口店,大阪府守口市佐太東町２−６−１４ジャガーグリーン２Ｆ
ラウンドワン東大阪店,大阪府東大阪市若江南町１−２−１２
ラウンドワン東淀川店,大阪府大阪市東淀川区菅原７−１４−２８
星狩物語岸和田店,大阪府岸和田市作才町1-3-2
ザ・インドアゲーム,大阪府大阪市旭区中宮5-6-19大阪工大正門前
ＧｉＧＯ和泉,大阪府和泉市肥子町２−４−４１
モンキートリック,大阪府寝屋川市香里南之町32-5　YNレジデンス香里2F
ソユーゲームフィールド泉南店,大阪府泉南市りんくう南浜３番１２イオンモールりんくう泉南２Ｆ
ラウンドワン高槻店,大阪府高槻市辻子３−６−４
ｎａｍｃｏ梅田店,大阪府大阪市北区小松原町３−３ＯＳビル２Ｆ
ラウンドワン堺中央環状店,大阪府堺市東区石原町２−２４１
ラウンドワン城東放出店,大阪府大阪市城東区今福南3-4-38
ラウンドワン堺駅前店,大阪府堺市堺区戎島町4-44-3
ラウンドワン枚方店,大阪府枚方市高野道１−２０−２０
ゲームパニック堺,大阪府堺市堺区築港八幡町1番地堺浜ｼｰｻｲﾄﾞｽﾃｰｼﾞ内堺浜ｴﾝﾀﾒ館
タイトーステーション アリオ八尾店,大阪府八尾市光町２−３　イトーヨーカドーアリオ八尾３Ｆ
タイトーステーション 難波店,大阪府大阪市中央区難波千日前１５−１２
Ｇ−ｐａｌａあべの,大阪府大阪市阿倍野区阿倍野筋３−１０−１あべのベルタ２Ｆ
ラウンドワン岸和田店,大阪府岸和田市八阪町２−１１−１
ＧｉＧＯ東大阪,大阪府東大阪市稲田新町３−９−６４
ラウンドワン梅田店,大阪府大阪市北区小松原町４−１６
ＧｉＧＯビバモール寝屋川,大阪府寝屋川市寝屋南２−２２−２ビバモール寝屋川モール棟２Ｆ
ｎａｍｃｏ大阪日本橋店,大阪府大阪市浪速区難波中2-1-17コスモビル1〜3階
宝島岸和田店,大阪府岸和田市春木若松町21-1ラパーク岸和田店2F
ＹＡＺ寝屋川店,大阪府寝屋川市石津中町25-26
タイトーステーション大阪日本橋店,大阪府大阪市浪速区日本橋４−９−１４
ラウンドワン千日前店,大阪府大阪市中央区難波１−３−１
