shop,adress,map
ゲームパークＭ１,群馬県前橋市国領町２−１３−６,"36.4052461 139.0658968"
群馬レジャーランド渋川店,群馬県渋川市八木原1364,"36.474194854142326 139.0153797220902"
ＧｉＧＯ沼田,群馬県沼田市下久屋町１１００−１,"36.65677554724194 139.07806910926206"
ＧｉＧＯ川口,埼玉県川口市東領家２−２−１０,"35.7948507698797 139.74752854232793"
ゲームシティ川口店,埼玉県川口市栄町1-10-5,"35.8025278 139.7256101"
ＧｉＧＯ所沢,埼玉県所沢市日吉町８−１,"35.788476 139.471899"
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７,"35.7880928 139.4723684"
キャロム所沢店,埼玉県所沢市下安松969-1,"35.791518 139.5041488"
ラウンドワン所沢店,埼玉県所沢市東町５丁目２２　６階,"35.7888614 139.469562"
キャロム坂戸店,埼玉県坂戸市関間2-151-1,"35.9526038 139.3985338"
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1,"35.9593592 139.7292399"
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ,"35.9885734 139.7898122"
タイトーＦステーションクレアモール川越店,埼玉県川越市新富町２−１−１３,"35.9138263 139.4829221"
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1,"35.913294 139.4831383"
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１,"35.90744667623512 139.6255973944775"
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４−９０−７,"35.9108281 139.6254402"
ＧｉＧＯイオンモール与野,埼玉県さいたま市中央区本町西５ー２−９イオンモール与野３Ｆ,"35.89063329770034 139.61510160898433"
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１,"35.91579143123197 139.59584728836057"
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３,"35.941179 139.6861123"
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7,"35.86026 139.6535399"
ＧｉＧＯ入間,埼玉県入間市東藤沢２−１８,"35.819205367671685 139.41811786627045"
ラウンドワン入間店,埼玉県入間市小谷田３−７−２５,"35.8279801 139.3760089"
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟,"35.98824657086851 139.58082229811703"
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１,"35.98573208623946 139.60784023306576"
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４,"35.9812984 139.5998607"
インターワールド幸手,埼玉県幸手市上高野２１４２‐１,"36.0570018 139.7143543"
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1,"35.8282375 139.8025135"
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３,"35.82988312095263 139.82058531282803"
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１,"35.8124210975572 139.78790271534422"
ＧｉＧＯ南越谷ラクーン,埼玉県越谷市南越谷１丁目１５番１号南越谷ラクーン２Ｆ,"35.8750206 139.7931848"
アミューズメントＦＵＮＦＵＮ越谷店,埼玉県越谷市南荻島２７７０−１,"35.9128551 139.7712022"
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F,"35.8778002 139.8245962"
ＧｉＧＯ籠原,埼玉県熊谷市美土里町１−１−１６９,"36.17095044617331 139.31825630304104"
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座2-97CARPA1階,"36.1391162 139.3949055"
タイトーステーション 和光店,埼玉県和光市丸山台１−４−５,"35.7866435 139.6138036"
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町大字杉戸２３３８,"36.040185 139.7208181"
ムー大陸本庄店,埼玉県本庄市本町1019-1,"36.24704609191445 139.19083570342718"
モンテカルロ,埼玉県深谷市西島３−１−２,"36.1919914 139.2805057"
ＧｉＧＯ花園,埼玉県深谷市荒川３５９,"36.1204271 139.2330687"
ビデオゲームミュージアムロボット深谷店,埼玉県深谷市上柴町西４−１２−１,"36.17963922001598 139.29880125952457"
ギガステーション戸田店,埼玉県戸田市大字美女木943-7,"35.834151131666935 139.65337923068842"
ラウンドワン朝霞店,埼玉県朝霞市膝折町２−１６−１０,"35.7902754 139.5796457"
ラウンドワンわらび店,埼玉県蕨市北町５−１−６,"35.8307831 139.6742333"
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１,"36.1235137 139.7151734"
ソユーゲームフィールド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ,"36.075662701184235 139.60986952994688"
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番,"35.85948058394654 139.86713965158992"
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200,"35.842186 139.8548677"
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４−１,"36.25998003590755 139.13743807354126"
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７,"36.0806388 139.4902256"
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３イオンモール羽生２階,"36.14286116797027 139.54274602222904"
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ,"35.8561384 139.5223952"
ＧｉＧＯ柏,千葉県柏市柏１−１−１１丸井デパート内Ｂ１Ｆ,"35.8614881 139.9709011"
タイトーステーション 柏店,千葉県柏市柏２−３−１フーサワビル,"35.8613823 139.9727044"
柏ヤングボウル,千葉県柏市南柏中央11-1,"35.8459602 139.9570334"
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０,"35.8323319 140.0119419"
ＧｉＧＯ千葉,千葉県千葉市中央区富士見２−４−１,"35.6115641 140.1158508"
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1,"35.6102534 140.1182646"
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59,"35.5541062 140.1260538"
ＧｉＧＯフェスティバルウォーク蘇我,千葉県千葉市中央区川崎町５１−１ハーバーシティ蘇我ＦＷ　１Ｆ,"35.592599050772186 140.11788251076734"
ＧｉＧＯ稲毛オーツーパーク,千葉県千葉市稲毛区園生町３８０−１,"35.65053167050292 140.1191122090538"
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４,"35.6575891 140.1277036"
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地,"35.6620233 140.1265534"
ＧｉＧＯ幕張,千葉県千葉市美浜区ひび野１−８メッセ・アミューズ・モール１Ｆ,"35.6499867 140.0426445"
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ,"35.6222355 140.1893642"
千葉レジャーランド野田店,千葉県野田市吉春776-1,"35.971570972918016 139.86530644550783"
アピナ野田七光台店,千葉県野田市七光台４−２,"35.9823488427348 139.8501378659928"
チャリオット五井店,千葉県市原市五井中央西２−１−２,"35.51361109629973 140.0898120710251"
チャリオット辰巳店,千葉県市原市市原500-1,"35.5249124 140.121933"
ラウンドワン市原店,千葉県市原市八幡北町３−５−１,"35.5474924506885 140.1233713399506"
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15,"35.6651795 139.8933456"
ＧｉＧＯイオン新浦安ショッピングセンター,千葉県浦安市入船１−４−１イオン新浦安ＳＣ４Ｆ,"35.6489954 139.9149219"
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ,"35.7835829 139.9007767"
ＧｉＧＯ八柱,千葉県松戸市日暮１−１−１八柱駅第２ビル２Ｆ,"35.7913772 139.9377874"
タイトーステーション 船橋店,千葉県船橋市本町１−６−１,"35.6998912 139.9859705"
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ〜３Ｆ,"35.70058132214141 139.98449028961863"
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル,"35.6922777 140.0201815"
プレビ　ららぽーとＴＯＫＹＯーＢＡＹ店,千葉県船橋市浜町２−１−１ららぽーとTOKYOBAY西館３階,"35.68628059702499 139.99039273439325"
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18,"35.7553935 140.3024003"
