タイトーステーションBIGFUN平和島店,東京都大田区平和島1丁目1−1BIGFUN平和島
タイトー小田原シティーモール店,神奈川県小田原市前川120 フレスポ小田原シティーモール2F
タイトー新宿南口ゲームワールド店,東京都新宿区新宿3−35−8
タイトーBIGBOX高田馬場店,東京都新宿区高田馬場1−35−3 BIGBOX6F
タイトーFステーションVAL小山,栃木県小山市城山町3丁目3番地22号小山駅ビル3F
タイトーFステーションゆめタウン別府店,大分県別府市楠町382−7
タイトーFステーションアスピア明石店,兵庫県明石市東仲ノ町6‐1 アスピア明石店南館3階
タイトーFステーションアル・プラザ鯖江店,福井県鯖江市下河端町16−16−1アルプラザ鯖江アミューズ棟内
タイトーFステーションイオン富士宮店,静岡県富士宮市浅間町1−8
タイトーFステーションイオン近江八幡店,滋賀県近江八幡市鷹飼町南3−7 1階
タイトーFステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
タイトーFステーションクレアモール川越店,埼玉県川越市新富町2−1−13
タイトーFステーションセントポルタ大分店,大分県大分市中央町2−1−1
タイトーFステーションダイエー大宮店,埼玉県さいたま市大宮区桜木町2丁目3番地
タイトーFステーションニシムタ出水店,鹿児島県出水市六月田町347番地
タイトーFステーションマルナカ新倉敷店,岡山県倉敷市玉島爪崎981−1
タイトーFステーションヨークタウン坂東店,茨城県坂東市辺田1104番地1
タイトーFステーション三宮西館店,兵庫県神戸市中央区三宮町2丁目11−1センタープラザ西館
タイトーFステーション上越店,新潟県上越市富岡3524 J-MAXシアター内1F
タイトーFステーション吉祥寺JOY店,東京都武蔵野市吉祥寺本町1丁目8‐23 河田ビル
タイトーFステーション姫路,兵庫県姫路市駅前町269・270番地
タイトーFステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟
タイトーFステーション山口メルクス店,山口県山口市大字黒川82−1ハイパーモールメルクス内
タイトーFステーション市川妙典店,千葉県市川市妙典4-1-1 イオン市川妙典店2番街2F
