name,address,loc_id,latitude&longitude
"BIG BANG 北見","北海道 北見市 中央三輪 7-446-1","CCc6opAOJGrvleAYeQKaSw","43.79697226 143.8514078"
"イトーヨーカドー北見","北海道 北見市 光西町 185","FoJO8SfrOLEHBS_VfGaLFg","43.798298 143.870281"
"ちびっこ遊園地ジョイランドイオン北見","北海道 北見市 北進町 1-1-1　イオン北見店3F","XdQrw6tjk-zbRY08Jw3lGA","43.808267 143.87553"
"アミューズメントシティ東武イーストモール","北海道 北見市 端野町三区 572-1　東武イーストモール内","7v0_mukH6iu5dvFyXCniyw","43.841426 143.928696"
"ディノスパーク北見","北海道 北見市 西三輪 5-1-16","PoWlJgBqNwCsLsuArkaLgQ","43.79654633 143.8425457"
"キッズパーク イオン岩見沢","北海道 岩見沢市 大和四条 8-1　イオン岩見沢店2F","yfX29Jj6jz-JUQTcXdLTxw","43.184092 141.7431"
"PALO網走","北海道 網走市 駒場北 5-83　駒場ショッピングタウン内","W4VJI8VT1y0zwbZLamqTOw","44.0009007 144.283923"
"ゲオ留萌","北海道 留萌市 花園町 4-8-5","hqAIkZEqXSGAszGlGiuuNg","43.938182 141.654861"
"キャッツアイ苫小牧駅前","北海道 苫小牧市 木場町 1-3","0IK3bKfL2v_auvhqGFwS0g","42.64178 141.598406"
"ファンタジープラザ苫小牧","北海道 苫小牧市 木場町 1-6-1　MEGAドン・キホーテ苫小牧店3F","QoaC7jh9aioYJJDBakOclA","42.641042 141.595285"
"GiGO BOWLイオンモール苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧2F","tKjDckUbqUKtpf7znHkQ3A","42.65574211 141.6408899"
"モーリーファンタジー苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧　イオン苫小牧店2F","hNCVw2GOJbZ2bni2ioqSZg","42.656319 141.642037"
"PALO苫小牧","北海道 苫小牧市 糸井 135-1　スーパーセンタートライアル苫小牧店G棟","EafmMMC_0glqXk9Ayjn-nw","42.61336206 141.5239155"
"こどものくに稚内西條","北海道 稚内市 大黒 4-7-1　稚内西條店内","-XbWtliVNfQ8G_U9G32VuQ","45.397447 141.692923"
"アミューズメントスペース遊ランド稚内","北海道 稚内市 港 5-8-15","kI8lAziyvWuHSU42ftYEzg","45.4007384 141.6808901"
"PALO江別","北海道 江別市 幸町 35　イオン江別店3F","zC3E_CJ4gvSiVGUoho_SGQ","43.096978 141.533645"
"キッズパーク イオン紋別","北海道 紋別市 花園町 3-4-39　イオン紋別店2F","_6kF7M6lM8xbyBdXP4-jOg","44.349532 143.347874"
"アミューズメントスペース遊ランド士別","北海道 士別市 大通東 8","kXYrkKuPk7II_dh5GOnjvQ","44.173917 142.394326"
"モーリーファンタジー名寄","北海道 名寄市 徳田 80-1　イオン名寄SC2F","5mJvoptav_4AcpEC9K-NVQ","44.338781 142.451984"
"モーリーファンタジー三笠","北海道 三笠市 岡山 1059-1　イオン三笠SC　イオンスーパーセンター三笠店1F","1T7wMBSu1qNqf6w7XWPrDQ","43.243582 141.805511"
"アミューズメントランドイオン根室","北海道 根室市 常盤町 3-9　イオン根室店2F","rlzJfIzYletB7sbOQ8rErg","43.332226 145.582949"
"タイトーステーション千歳","北海道 千歳市 北栄 2-12-5","aV_F6ZW9Z0vAShh_EQVTBA","42.833339 141.645548"
"キッズパーク イオン千歳","北海道 千歳市 栄町 6-51　イオン千歳店2F","AMNtOglmeRK3lKVqzUzDgQ","42.828856 141.648096"
"アピナ新千歳空港","北海道 千歳市 美々 1　新千歳空港（国内線）旅客ターミナルビル4F","nGun1ihx4D2Lg3fD6AU76A","42.787127 141.68056"
"PALO滝川","北海道 滝川市 東町 2-29-1　イオン滝川店1F","d2lug0A77FloiI4cig6k1g","43.554168 141.931215"
"遊ランド富良野","北海道 富良野市 弥生町 5-50","gzz2qFKkzYllWlMculSDtw","43.344251 142.378529"
"アミューズメントスペースGAME PLAZA第一滝本館","北海道 登別市 登別温泉町 55　第一滝本館内","zxHqbVvk8Ygbmzh-E64dPg","42.495074 141.144963"
"モーリーファンタジー登別","北海道 登別市 若山町 4-33-1　イオン登別店2F","k_ixb5_0hJVRfQQPFRbRtQ","42.381331 141.068466"
"キャッツアイ恵庭","北海道 恵庭市 住吉町 2-9-1","FA3p5k7wZGjc5QDJ64GzGA","42.87588548 141.5834606"
"ちびっこ遊園地ジョイランドイオン伊達","北海道 伊達市 末永町 8-1　イオン伊達店2F","otTmdK9ixlf-BQGW_AFQvw","42.473528 140.862701"
"アドアーズインターヴィレッジ大曲","北海道 北広島市 大曲幸町 6-1　インターヴィレッジ大曲2F","Odx4U5nUlmJSXNS4YALpnw","42.96918 141.469658"
"モーリーファンタジー石狩緑苑台","北海道 石狩市 緑苑台中央 1-2　イオン石狩緑苑台SC　イオンスーパーセンター石狩緑苑台店1F","2Krk3WJgMA9uAF9AoFx01w","43.158187 141.335453"
"モーリーファンタジー上磯","北海道 北斗市 七重浜 4-44-1　イオン上磯店1F","r_mXJiFfetObfc3OUUnt-w","41.82126 140.712447"
"ディノスパーク上磯","北海道 北斗市 七重浜 7-14-1　スーパーセンタートライアル上磯店1F","4Uqs3j4uogmlRGeEVEjwaQ","41.820381 140.695913"
"BIG BANG 釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","43.009205 144.409919"
"ちびっこ遊園地ジョイランドイオン余市","北海道 余市郡余市町 黒川町 12-62-1　イオン余市店2F","aW-OvKVSYr35T8eku3NfTQ","43.185627 140.798531"
"キャッツアイ静内","北海道 日高郡新ひだか町 静内木場町 2-1-41","MevGitmulqDv-HcOi70XOg","42.34142 142.35565"
"BIG BANG 釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","43.009205 144.409919"
"モーリーファンタジー中標津","北海道 標津郡中標津町 南町 3-10　東武サウスヒルズ1F","G2FCfZX_8C1oY1vjXjXHag","43.53624 144.977804"
"アミューズメントスペースジョイランド洞爺サンパレス","北海道 有珠郡壮瞥町 洞爺湖温泉 7-1　洞爺サンパレス内","ZbU8oG0j3BQWYbzbPM86Gw","42.565474 140.833307"
"キャッツアイ静内","北海道 日高郡新ひだか町 静内木場町 2-1-41","MevGitmulqDv-HcOi70XOg","42.34142 142.35565"
"ラ・セラキッズ","青森県 青森市 八重田 4-2-1　ラ・セラ東バイパスSC内","AtDm1DZELH8HO8lQKSfXHQ","40.827453 140.800296"
"ソユーゲームフィールド青森","青森県 青森市 浜田 1-14-1　イトーヨーカドー青森店2F","ymr_FoT-qF2LR3v6Rvt9ew","40.800813 140.749054"
