name,loc_id,address,pcb_count
"岡山ヤングボウル","yfMauXIcBrn_SMvCU0S2kA","岡山県 岡山市北区 北長瀬表町 3-3-20","5"
"GiGO 倉敷","QtNwCZw3DdPOLH7JoLbExw","岡山県 倉敷市 西中新田 535-2","5"
"アミパラ津山","pOviS87Prno_MT9Jyc0UGQ","岡山県 津山市 河辺 1000-1　イオンモール津山2F","5"
"ラウンドワン広島","05BgWC8_iCLCyI0oBh_iNQ","広島県 広島市中区 立町 3-11","11"
"プラサカプコン広島","oB3TF16Sfy5AqXC77anvEQ","広島県 広島市佐伯区 石内東 4-1-1　ジ・アウトレット広島1F","10"
"タイトーステーション広島紙屋町","cQGAGO_mbM4gUa2lIstiWA","広島県 広島市中区 紙屋町 2-2-21","9"
"ビバーチャ","EoiosiZb6MOwl57bX42ZbA","広島県 広島市中区 南竹屋町 10-17","7"
"GiGO 中筋","rjdEzvfqqnSta3fqtxhFbg","広島県 広島市安佐南区 中筋 4-11-7　フタバ図書MEGA祇園中筋店2F　レンタルコーナー奥","7"
"GiGO アルパーク北棟","rGidToOvzpywKhwJBBCZ-w","広島県 広島市西区 草津南 4-7-1　アルパーク北棟2F","7"
"GiGO 広","ajtA6qERC4DQAOFlBB6fVA","広島県 呉市 広中町 1-9　フタバ図書ソフトピア広店2F","7"
"ラウンドワン福山","LoNJo_p29uuPiX22okMdMg","広島県 福山市 明神町 1-9-28","7"
