name,address,loc_id,latitude&longitude,pcb_count
"GiGO ココノススキノ","北海道 札幌市中央区 南四条西 4-1-1　COCONO SUSUKINO 3F","AsIcBXCG9dPloV9v4qL43w","","","1"
"アミューズメントスペースジョイランド定山渓ビューホテル","北海道 札幌市南区 定山渓温泉東 2　定山渓ビューホテル内","tLb9BMabXEvB3gD0lAQ_DA","","","1"
"トム・ソーヤのなかまたち。札幌藻岩","北海道 札幌市南区 川沿二条 2-1-1　イオン札幌藻岩店2F","qgfyS_q8NfwWfDqu6DfsXg","","","1"
"モーリーファンタジー新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-6-2　新さっぽろアークシティdUo2　2F","90yK5_GlyQkmVCUDCUeFyA","","","1"
"ていね温泉ほのか","北海道 札幌市手稲区 富丘二条 3-2-1　ゲームコーナー","0qY4WMzkzA7tSR_47F1Dmg","","","1"
"ラッキー星置駅前","北海道 札幌市手稲区 星置一条 2-1-1　ラッキー星置駅前店内ゲームコーナー1F","G2T4iHDQAgReXR49tvVr3Q","","","1"
"タイトーステーションイオンモール札幌平岡","北海道 札幌市清田区 平岡三条 5-3-1　イオンモール札幌平岡2F","8gsGDvCyXNETblceXPBXFQ","","","1"
"湯の郷 絢ほのか","北海道 札幌市清田区 清田二条 3-2-26　ゲームコーナー","-K3XsLR7Lt3Ui_G8E1lElQ","","","1"
"モーリーファンタジー東札幌","北海道 札幌市白石区 東札幌三条 2-1　イオン東札幌2F","GML6YZF0fCYd_W75x8pKBg","","","1"
"キャッツアイ栄通","北海道 札幌市白石区 栄通 19-11-43","pOwKF8yvhuESOvB5hHligA","","","1"
"わいわいランド琴似","北海道 札幌市西区 琴似二条 1-4-1　イトーヨーカドー琴似店3F","1iW-Nfh-VriT-CO27uXRnA","","","1"
"モーリーファンタジー札幌琴似","北海道 札幌市西区 琴似二条 4-2-2　イオン札幌琴似店3F","iM1-ACwjFq7cKUpONQBh2g","","","1"
"キャッツアイミュンヘン大橋","北海道 札幌市豊平区 平岸一条 23-801-1","Gu67ZztLh0pzGnsSk7Uzbw","","","1"
"Bee-Qシーナシーナ福住","北海道 札幌市豊平区 福住二条 1-2-5　CiiNACiiNA福住3F","shqIVvmoZ0stu3TeUefbrQ","","","1"
"イオン札幌西岡","北海道 札幌市豊平区 西岡三条 3-4-1　イオン札幌西岡店2Fゲームコーナー","oqZtAnO4bXeEP4HTrheCZQ","","","1"
"コープさっぽろ湯川店ファミリーランド","北海道 函館市 湯川町 1-34-15　コープさっぽろ湯川店2F","50XxI1sH6kHnKK-2R61vPQ","","","1"
"モーリーファンタジー湯川","北海道 函館市 湯川町 3-14-5　イオン湯川店1・2F","1DRoMetfv7pKEqFijodX7A","","","1"
"ピーターパンと仲間たち函館","北海道 函館市 美原 1-3-1　グランディールイチイ1F","7szZR3gNGKg-8KmMrggtCQ","","","1"
"あそびパークウイングベイ小樽","北海道 小樽市 築港 11-1　ウイングベイ小樽1番街3F","UzAXGJZYgE2DYmSZbMC2ww","","","1"
"モーリーファンタジー旭川パルプ","北海道 旭川市 パルプ町一条 2-505-2　SCパルプタウン1F","sGok0_OoniIWfLd6LtZz_Q","","","1"
"GiGO メガセンタートライアル旭川","北海道 旭川市 六条通 14-64　メガセンタートライアル旭川2F","rpTbWGpoXg6PUBtE-SOJJg","","","1"
"アミューズメントスペース遊ランド春光","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","Xaqa-MmVS9DlDnuG3vkdbw","","","1"
"ファンタジープラザ旭川","北海道 旭川市 春光一条 8-1-65　MEGAドン・キホーテ旭川店2F","sl0_cPAYkWFX0q7KUSIghw","","","1"
"ゲームフィールド旭川春光","北海道 旭川市 春光町 10　イオン旭川春光SC内","TJTXLOLC-p1O6IbnBWn2qQ","","","1"
"タイトーFステーションイオン旭川永山","北海道 旭川市 永山三条 12-2-11　イオン旭川永山店3F","sQ23isrN5GQe-Hpyhfp5ww","","","1"
"アミューズメントスペース遊ランド西御料","北海道 旭川市 西御料五条 2-1","ZAWsW9j8yFJi-GcK1w2TqA","","","1"
"アミューズメントランドイオン室蘭","北海道 室蘭市 東町 2-4-32　イオン室蘭店2F","sYRhy6ZF39e1YoONfDqhqQ","","","1"
"GiGO 室蘭","北海道 室蘭市 東町 4-31-3","gDYKpI2gGP0j70rp_0ypyw","","","1"
"モーリーファンタジー釧路昭和","北海道 釧路市 昭和中央 4-18-1　イオンモール釧路昭和　イオン釧路昭和店2F","G6lF8aysB15luz2o2voOxw","","","1"
"ハロータイトー釧路貝塚","北海道 釧路市 貝塚 3-2-28","L6sYfMc328uZvLls0U3d-g","","","1"
"ちびっこ遊園地ジョイランドイオン北見","北海道 北見市 北進町 1-1-1　イオン北見店3F","XdQrw6tjk-zbRY08Jw3lGA","","","1"
"キッズパーク イオン岩見沢","北海道 岩見沢市 大和四条 8-1　イオン岩見沢店2F","yfX29Jj6jz-JUQTcXdLTxw","","","1"
"PALO網走","北海道 網走市 駒場北 5-83　駒場ショッピングタウン内","W4VJI8VT1y0zwbZLamqTOw","","","1"
"ゲオ留萌","北海道 留萌市 花園町 4-8-5","hqAIkZEqXSGAszGlGiuuNg","","","1"
"ファンタジープラザ苫小牧","北海道 苫小牧市 木場町 1-6-1　MEGAドン・キホーテ苫小牧店3F","QoaC7jh9aioYJJDBakOclA","","","1"
"こどものくに稚内西條","北海道 稚内市 大黒 4-7-1　稚内西條店内","-XbWtliVNfQ8G_U9G32VuQ","","","1"
"アミューズメントスペース遊ランド稚内","北海道 稚内市 港 5-8-15","kI8lAziyvWuHSU42ftYEzg","","","1"
"キッズパーク イオン紋別","北海道 紋別市 花園町 3-4-39　イオン紋別店2F","_6kF7M6lM8xbyBdXP4-jOg","","","1"
"アミューズメントスペース遊ランド士別","北海道 士別市 大通東 8","kXYrkKuPk7II_dh5GOnjvQ","","","1"
"モーリーファンタジー名寄","北海道 名寄市 徳田 80-1　イオン名寄SC2F","5mJvoptav_4AcpEC9K-NVQ","","","1"
"アミューズメントランドイオン根室","北海道 根室市 常盤町 3-9　イオン根室店2F","rlzJfIzYletB7sbOQ8rErg","","","1"
"タイトーステーション千歳","北海道 千歳市 北栄 2-12-5","aV_F6ZW9Z0vAShh_EQVTBA","","","1"
"遊ランド富良野","北海道 富良野市 弥生町 5-50","gzz2qFKkzYllWlMculSDtw","","","1"
"アミューズメントスペースGAME PLAZA第一滝本館","北海道 登別市 登別温泉町 55　第一滝本館内","zxHqbVvk8Ygbmzh-E64dPg","","","1"
"緑の風リゾート きたゆざわ","北海道 伊達市 大滝区北湯沢温泉町 300-2　緑の風リゾートきたゆざわゲームコーナー","yxC0FM_aFoECNIyZo8F27w","","","1"
"ちびっこ遊園地ジョイランドイオン伊達","北海道 伊達市 末永町 8-1　イオン伊達店2F","otTmdK9ixlf-BQGW_AFQvw","","","1"
"モーリーファンタジー石狩緑苑台","北海道 石狩市 緑苑台中央 1-2　イオン石狩緑苑台SC　イオンスーパーセンター石狩緑苑台店1F","2Krk3WJgMA9uAF9AoFx01w","","","1"
"GiGO スーパーセンタートライアル上磯","北海道 北斗市 七重浜 7-14-1　スーパーセンタートライアル上磯店1F","4Uqs3j4uogmlRGeEVEjwaQ","","","1"
"ちびっこ遊園地ジョイランドイオン余市","北海道 余市郡余市町 黒川町 12-62-1　イオン余市店2F","aW-OvKVSYr35T8eku3NfTQ","","","1"
"キャッツアイ静内","北海道 日高郡新ひだか町 静内木場町 2-1-41","MevGitmulqDv-HcOi70XOg","","","1"
"アミューズメントスペースジョイランド洞爺サンパレス","北海道 有珠郡壮瞥町 洞爺湖温泉 7-1　洞爺サンパレス内","ZbU8oG0j3BQWYbzbPM86Gw","","","1"
"キャッツアイ静内","北海道 日高郡新ひだか町 静内木場町 2-1-41","MevGitmulqDv-HcOi70XOg","","","1"
