shop,address,count,shopid
モーリーファンタジー太田店,群馬県太田市石原町８１番地 イオンモール太田２階,2,shop_id=2245
ユーズランド太田店,群馬県太田市石原町８１番地 イオンモール太田２階,4,shop_id=3682
群馬レジャーランド太田店,群馬県太田市西矢島町162ー2 ,4,shop_id=3569
群馬レジャーランド渋川店,群馬県渋川市八木原1364 ,4,shop_id=9110
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1 ,4,shop_id=381
GiGO館林,群馬県館林市小桑原町949-1 ,4,shop_id=5587
ユーズランド高崎店,群馬県高崎市棟高町1400 イオンモール高崎店2階,4,shop_id=3004
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町333-1 高崎EXビル,4,shop_id=1473
GiGOイオンモール浦和美園,埼玉県さいたま市緑区美園5-50-1 イオンモール浦和美園 2F,2,shop_id=11586
GiGO大宮西口,埼玉県さいたま市大宮区桜木町 二丁目3番地2,2,shop_id=12554
ウェアハウスアミューズ三橋店,埼玉県さいたま市西区三橋6-955-1 ウェアハウス三橋,6,shop_id=11215
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉3-3-63 ,2,shop_id=11203
タイトーFステーションイオンスタイル大宮西口駅前,埼玉県さいたま市大宮区桜木町2‐3 イオンスタイル大宮西口駅前店内7階,2,shop_id=10335
タイトーステーション大宮店,埼玉県さいたま市大宮区大門町一丁目１番地 タイトーステーション大宮,6,shop_id=8869
埼玉レジャーランド大宮ラクーン店,埼玉県さいたま市大宮区宮町1-60 大宮ラクーン5F ,4,shop_id=11999
埼玉レジャーランド大宮駅東口店,埼玉県さいたま市大宮区宮町1-8 大宮セントラルビルB1F-2F,2,shop_id=12649
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200 ,4,shop_id=177
ラウンドワンスタジアムららぽーと新三郷店,埼玉県三郷市新三郷ららシティ３丁目１－１ ららぽーと新三郷２階　２００００番,2,shop_id=5671
アピナ上尾店,埼玉県上尾市緑丘３丁目３番１１－２号 ＰＡＰＡ上尾プリンセス棟１階・２階,4,shop_id=8706
ウェアハウス上尾店,埼玉県上尾市二ツ宮1044番地 ,2,shop_id=11120
モーリーファンタジー上尾店,埼玉県上尾市愛宕3-8-1 イオンモール上尾2階,2,shop_id=11109
ラウンドワンスタジアム上尾店,埼玉県上尾市大字平塚917番地1 ,2,shop_id=9974
ＦＥＳＴＡ上尾店,埼玉県上尾市愛宕３－１－４０ バリュープラザ上尾愛宕２階,2,shop_id=434
ソユーゲームフィールド菖蒲,埼玉県久喜市菖蒲町菖蒲6005番地1号 モラージュ菖蒲3F,2,shop_id=5659
ラウンドワンスタジアムさいたま・栗橋,埼玉県久喜市小右衛門192-1 ,2,shop_id=11661
GiGO入間,埼玉県入間市東藤沢2-18 ,4,shop_id=1019
ラウンドワンスタジアム入間店,埼玉県入間市 小谷田3丁目7番25号,4,shop_id=9973
アドアーズ和光,埼玉県和光市本町3-5 MillionAnnex和光1-3F,2,shop_id=11616
タイトーステーション和光店,埼玉県和光市丸山台１－４－５ タイトーステーション和光,2,shop_id=6433
キャロム坂戸,埼玉県坂戸市関間2-151-1 ,2,shop_id=11707
GiGO川口,埼玉県川口市東領家2-2-10 ,2,shop_id=3886
ゲームシティ川口店,埼玉県川口市栄町1-10-5 ,4,shop_id=11809
シルクハット 川口,埼玉県川口市栄町3-1-16 イート川口ビル4階,4,shop_id=10104
アピナ川越店,埼玉県川越市泉町1-1 ウニクス南古谷シネマ棟1階,4,shop_id=11341
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1 関口池田ビル1F,2,shop_id=11208
タイトーFステーションクレアモール川越店,埼玉県川越市新富町2-1-13 カシーラ川越1Fから4F,4,shop_id=542
インターワールド幸手店,埼玉県幸手市上高野2142-1 ,2,shop_id=12264
タイトーFステーション マルイファミリー志木店,埼玉県志木市本町5-26-1 マルイファミリー志木店 7F ,4,shop_id=10311
ギガステーション戸田店,埼玉県戸田市美女木９４３－７ ギガステーション戸田,4,shop_id=8325
モーリーファンタジー北戸田店,埼玉県戸田市美女木東１－３－１ イオン北戸田２階,2,shop_id=2253
GiGO所沢,埼玉県所沢市日吉町8-1 ,4,shop_id=6439
キャロム所沢店,埼玉県所沢市下安松969-1 ,2,shop_id=11783
タイトーステーション　所沢店,埼玉県所沢市日吉町３番７号 スカイビュウビル１、２Ｆ,2,shop_id=3298
ユーズランド春日部店,埼玉県春日部市下柳４２０－１ イオンモール春日部２Ｆ,4,shop_id=8487
埼玉レジャーランド春日部店,埼玉県春日部市増富谷際163-1 ,6,shop_id=1841
ラウンドワンスタジアム朝霞店,埼玉県朝霞市膝折町2丁目16-10 ,2,shop_id=9975
GiGO花園,埼玉県深谷市荒川359 ,4,shop_id=197
ビデオゲームミュージアムロボット 深谷店,埼玉県深谷市上柴町西4-12-1 キャラゲット深谷,2,shop_id=129
GiGO籠原,埼玉県熊谷市美土里町1-169 ,2,shop_id=7519
SOYU Game Field熊谷店,埼玉県熊谷市銀座2-245 ショッピングセンターニットーモール4階,2,shop_id=3549
namco熊谷店,埼玉県熊谷市銀座２丁目９７番地 ＣＡＲＰＡ,8,shop_id=1579
プラサカプコン羽生店,埼玉県羽生市川崎２－２８１－３ イオンモール羽生２階,4,shop_id=1937
ウェアハウス草加(別館),埼玉県草加市稲荷2丁目36番33号 ,4,shop_id=11703
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町1132-1 ,4,shop_id=5864
ラウンドワン草加,埼玉県草加市谷塚上町204-1 ,2,shop_id=11649
