shop,address,id,place
"GiGO ららぽーと富士見","埼玉県 富士見市 山室 1-1313　ららぽーと富士見3F　35200番","K7Zyo91ADjz5-kZaf0FHHQ","35.858368 139.54877"
"GiGO ららぽーと甲子園","兵庫県 西宮市 甲子園八番町 1-100　ららぽーと甲子園　ウッズウォークモール2F","Q1sAaF11AAThJQdz487t5A","34.717346 135.364413"
"GiGO アクアウォーク大垣","岐阜県 大垣市 林町 6-80-21　アクアウォーク大垣2F","SS2Czmo54CZYP7bZOmz6Hw","35.368786 136.616647"
"GiGO アドバンスモール松阪","三重県 松阪市 田村町 235-1　アドバンスモール松阪内","bm5a1HTDzK97nXXTJ1dGUQ","34.553897 136.514661"
"GiGO アミュプラザくまもと","熊本県 熊本市西区 春日 3-15-26  アミュプラザくまもと6F","gE4wWKcu99895b0w6MgBXA","32.7889 130.688284"
"GiGO アミュプラザみやざき","宮崎県 宮崎市 老松 2-2-22　アミュプラザみやざきうみ館4F","43QJ-y9XHR9RfZS2vYxCuQ","31.914266 131.431553"
"GiGO アルプラザ金沢","石川県 金沢市 諸江町 30-1　アル・プラザ金沢2F","WRKaPuLi44RCcBvVizd2bA","36.591087 136.643154"
"GiGO イオンスタイル新浦安","千葉県 浦安市 入船 1-4-1　イオンスタイル新浦安店4F","cY5s761DykubPF3kB8WeaA","35.6492933 139.9150944"
"GiGO イオンタウン刈谷","愛知県 刈谷市 東境町京和 1　イオンタウン刈谷内","rYUoXzLtE2SOu7CX14RJfw","35.038808 137.026769"
"GiGO イオンタウン名西","愛知県 名古屋市西区 香呑町 6-49-1　イオンタウン名西2F　区画No.213","y-mqxxL5I_UcVx-KMrweew","35.204127 136.892598"
"GiGO イオンタウン小郡","山口県 山口市 小郡前田町 3-6","Z_lqRnDWwvFiygVvS94JpQ","34.086987 131.398663"
"GiGO イオンタウン金沢示野","石川県 金沢市 戸板西 2-1　イオンタウン金沢示野内","UIk8XipLz5Yasr87wGwjNA","36.57916266 136.6158806"
"GiGO イオンモールむさし村山","東京都 武蔵村山市 榎 1-1-3　イオンモールむさし村山2F","406iM-QvTIdgqtFquhD-ZA","35.746741 139.385067"
"GiGO イオンモール与野","埼玉県 さいたま市中央区 本町西 5-2-9　イオンモール与野3F","UIBwtuAweprFCr5cK2SnEA","35.890633 139.615102"
"GiGO イオンモール岡山","岡山県 岡山市北区 下石井 1-2-1　イオンモール岡山6F","yKB8FMxcZGFPZs5QtgrZ8A","34.662044 133.917795"
"GiGO イオンモール川口","埼玉県 川口市 安行領根岸 3180　イオンモール川口2F","qgCK-f9IRThgAQghjYQK9Q","35.837593 139.722916"
"GiGO イオンモール木曽川","愛知県 一宮市 木曽川町黒田字南八ツケ池 25-1　イオンモール木曽川3F","JoCFevmo5J1ozbnMLqa6AQ","35.348969 136.7736"
"GiGO イオンモール銚子","千葉県 銚子市 三崎町 2-2660-1　イオンモール銚子2F","Z9Yj5sKGOGUrsxSxy_anQQ","35.709894 140.78762"
"GiGO イオンモール高岡","富山県 高岡市 下伏間江 383　イオンモール高岡西館2F","G2Avkr0TpKhFJnL1-HEgfQ","36.724506 137.016857"
"GiGO イオンモール高松","香川県 高松市 香西本町 1-1　イオンモール高松2F　227-2","Y-8TzmRX6lD93IMU7oClXg","34.352416 134.005094"
"GiGO イトーヨーカドー古淵","神奈川県 相模原市南区 古淵 3-13-33　イトーヨーカドー古淵店3F","tQFCXz_7_svm7a3CfroHFw","35.553014 139.418654"
"GiGO エイスクエア草津","滋賀県 草津市 西渋川 1-23-23　草津駅前SC　A-SQUARE SARA南棟2F","5KpeP7SDk4S3AX0ZnLdKGA","35.024221 135.959783"
"GiGO ギャラリエアピタ知立","愛知県 知立市 長篠町 大山18-1　ギャラリエアピタ知立店1F","KGofCw4f-RPgzIap6abIlA","34.999124 137.052842"
"GiGO コロワ甲子園","兵庫県 西宮市 甲子園高潮町 3-3　Corowa甲子園3F","BUFHlmbqjNJMT2kI-NCjpw","34.723734 135.361849"
"GiGO サンスパおおむら","長崎県 大村市 森園町 663-3","wMeybIxHfPk93U0Q7nWV2A","32.92181 129.937476"
"GiGO サントムーンオアシス","静岡県 駿東郡清水町 伏見 52-7　サントムーン柿田川サントムーンオアシス3F","-yeDwBeRFr0SNT4z-dnRPQ","35.109697 138.901592"
"GiGO サントムーン柿田川","静岡県 駿東郡清水町 玉川 61-2　サントムーン柿田川本館2F","tDPJ7aoBHdEBxayj5DNgjQ","35.109774 138.903001"
"GiGO スエヒロボウル徳島","徳島県 徳島市 南末広町 4-95-2　スエヒロボウル内","DqWIYWlFEQNthMa6QbjAgQ","34.061112 134.572775"
