shop,住所cd
GiGOラパーク瑞江,東京都江戸川区瑞江2-1-2ドン・キホーテ　ラパーク瑞江店4F,DBRD
GiGO万代シティバスセンタービル,新潟県中央区万代1丁目6番1号　3階,DBRDAB
GiGO上田,長野県上田市上田1847-1,DBAB
GiGO中津,大分県中津市沖代町1-2-16,DBAB
GiGO中筋,広島県広島市安佐南区中筋4-11-7　フタバ図書MEGA内2F レンタルコーナー奥,AB
GiGO中間,福岡県中間市上蓮花寺3-11-1　プラザモールなかま　モール館内,DBRDAB
GiGO丸亀,香川県丸亀市蓬莱町56-1,AB
GiGO久居,三重県津市久居明神町字風早2534-1,DB
GiGO今福,大阪府大阪市城東区今福東1-9-34,DBRDAB
GiGO仙台コロナワールド,宮城県仙台市宮城野区福室字田中前一番53-1,DB
GiGO仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階,DBRDAB
GiGO伊勢,三重県伊勢市中須町666,DBRDAB
GiGO会津若松,福島県会津若松市町北町大字上荒久田字宮下１４２スーパーノバ会津インター,DBRDAB
GiGO佐沼,宮城県登米市迫町佐沼字中江2-5-8,AB
GiGO倉敷,岡山県倉敷市西中新田535-2,DBRDAB
GiGO入間,埼玉県入間市東藤沢2-18,DBRDAB
GiGO八戸,青森県八戸市城下4丁目25番地14号,AB
GiGO八柱,千葉県松戸市日暮1-1-1八柱駅第2ビル2F,DBAB
GiGO函館昭和,北海道函館市昭和３丁目２４－１８ゲオ函館昭和店　店内,DBRD
GiGO利府,宮城県宮城郡利府町加瀬字新前谷地55-1,DBRDAB
GiGO勿来,福島県いわき市勿来町四沢鍵田１３,DB
GiGO北山形,山形県山形市北町1-3-20,AB
GiGO北見,北海道北見市西三輪5丁目1番地16号,DBRDAB
GiGO南町田グランベリーパーク キッズディスカバリー,東京都町田市鶴間3-4-1　キッズディスカバリー2階E201,DBRD
GiGO南越谷ラクーン,埼玉県越谷市南越谷1-15-1　ラクーン南越谷2F,DBAB
GiGO名取,宮城県名取市飯野坂土城堀57-1,DBRDAB
GiGO名張,三重県名張市希央台3番町15番地,DB
GiGO和泉,大阪府和泉市肥子町2-4-41,AB
GiGO大宮西口,埼玉県さいたま市大宮区桜木町二丁目3番地2,AB
GiGO大森,東京都大田区山王2-1-5　大森駅北口ララビル2階,RDAB
GiGO大阪第4ビル,大阪府大阪市北区梅田1-11-4　大阪駅前第4ビル地下一階,RDAB
GiGO天童,山形県天童市南町一丁目5番26号ららパーク内スーパーノバ天童,DBRDAB
GiGO太田,群馬県太田市西矢島町 575-1,AB
GiGO姫路駅前,兵庫県姫路市駅前町254 254 姫路OSビルB1F,AB
GiGO宇都宮,栃木県栃木県宇都宮市東宿郷5-1-7,DBRDAB
GiGO安城,愛知県安城市百石町2-35-13,DBRDAB
GiGO室蘭,北海道室蘭市東町4丁目31番2号,DB
GiGO小名浜,福島県いわき市小名浜林城字塚前18-1,DBAB
GiGO小山,栃木県小山市東城南1-1-18,AB
